"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,53.626,72.9119,111.9756,137.9837,196.5883,353.2797,512.2979,685.9824,853.482,886.8182,697.2853,577.9741,563.4684,527.9655,379.3577,356.382,199.4156,105.6507,60.2925,33.2171,15.3077,6.2362,2.8872,0.9981,0.4437,0.1709,0.0637,0.0221,0.0077,0.0026,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,63.2603,86.4345,133.3836,165.065,236.0627,425.5635,618.0064,826.8642,1025.1564,1058.643,825.7825,677.916,653.3958,604.3431,428.8377,397.4127,219.6568,115.0689,64.9291,35.3744,16.1284,6.506,2.983,1.0217,0.4501,0.1718,0.0634,0.0219,0.0075,0.0025,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,41.8777,58.6685,92.9434,118.018,173.323,321.7647,480.6802,660.8115,840.9015,888.5657,706.5164,590.1227,578.0931,542.5835,389.4008,364.5785,203.1023,107.095,60.8083,33.3285,15.2819,6.1966,2.8557,0.9828,0.435,0.1669,0.062,0.0214,0.0075,0.0025,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.7146,79.1773,122.6742,152.358,218.6025,395.2202,574.8527,769.0668,951.5197,978.6175,759.239,619.1723,592.0913,542.7571,381.8208,350.5298,192.1083,99.8587,55.9099,30.2275,13.6807,5.4813,2.4963,0.8496,0.372,0.1411,0.0518,0.0178,0.006,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,39.11,57.6078,96.1532,128.4354,198.6134,389.916,613.5745,884.2326,1172.9649,1279.9639,1040.7121,883.3903,875.0487,825.7468,592.5304,552.4509,305.8218,160.1203,90.2222,49.0616,22.3233,8.9871,4.1123,1.406,0.6182,0.2355,0.0869,0.0298,0.0103,0.0035,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.9336,75.5935,115.3339,141.1611,199.6232,355.5341,510.5327,676.1493,830.7543,851.7558,660.9134,540.3179,519.0332,478.9108,339.3869,314.3049,173.7,91.0056,51.363,27.9915,12.7662,5.1513,2.3625,0.8095,0.3567,0.1362,0.0503,0.0173,0.0059,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.6132,71.6263,114.6639,147.0682,218.1801,409.4011,617.4842,855.8184,1096.1055,1163.0247,926.5607,774.2864,757.8932,709.824,507.9214,473.6998,262.858,138.0764,78.0935,42.6351,19.4756,7.8696,3.6141,1.2399,0.547,0.2091,0.0775,0.0266,0.0093,0.0031,0.001,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.1134,68.6329,106.2068,131.846,189.2706,342.9506,501.2222,676.0706,846.8849,885.0604,699.1275,581.8366,569.3015,535.1012,385.3604,362.717,203.2388,107.7921,61.5758,33.9558,15.6618,6.3856,2.9588,1.0236,0.4554,0.1756,0.0655,0.0227,0.0079,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,52.1793,71.2618,109.954,136.1143,194.8423,351.9707,512.969,690.1982,862.7284,900.1487,710.2503,590.6169,577.569,542.7182,390.8414,367.9438,206.2283,109.4143,62.5252,34.4925,15.9152,6.4911,3.0086,1.0411,0.4632,0.1786,0.0666,0.0231,0.008,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,58.2444,81.7266,129.6432,164.753,242.0067,448.877,668.7918,914.7857,1154.7575,1207.1956,948.1739,781.018,753.1043,694.7486,490.629,451.5534,247.7712,128.8658,72.175,39.0291,17.6665,7.079,3.2244,1.0976,0.4806,0.1821,0.0668,0.0229,0.0078,0.0026,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
