"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,52.6325,48.1288,44.522,47.659,52.004,47.2922,48.2775,34.2304,20.007,13.9686,8.7263,4.4937,2.1558,1.0872,0.4647,0.2082,0.095,0.04,0.0156,0.0059,0.0024,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,62.0801,57.0157,52.9598,56.9305,62.3805,56.9422,58.3431,41.5028,24.3243,17.0302,10.6679,5.5077,2.6485,1.3388,0.5734,0.2574,0.1178,0.0497,0.0194,0.0074,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,41.0698,38.5578,36.5947,40.2492,45.1575,42.1484,44.1792,32.0953,19.1557,13.6652,8.7198,4.5815,2.2393,1.1501,0.5002,0.228,0.106,0.0453,0.0179,0.0069,0.0028,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,56.6317,52.1982,48.6498,52.4805,57.7055,52.8414,54.31,38.7412,22.759,15.9722,10.0285,5.1889,2.5003,1.2664,0.5435,0.2445,0.1122,0.0473,0.0185,0.0071,0.0028,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,38.3053,37.5824,37.2367,42.8632,50.3964,49.1479,53.8727,40.7806,25.2182,18.6592,12.343,6.7103,3.3854,1.7932,0.8034,0.3767,0.1803,0.0793,0.0322,0.013,0.0054,0.002,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.9056,49.9439,45.9583,48.916,53.0545,47.9682,48.6724,34.3145,19.9567,13.8617,8.6154,4.4151,2.1085,1.0587,0.4506,0.2011,0.0915,0.0383,0.0149,0.0056,0.0023,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.6236,47.0045,44.9987,49.9459,56.5628,53.256,56.318,41.2469,24.79,17.8118,11.4462,6.0544,2.9777,1.5385,0.6729,0.3084,0.1442,0.062,0.0247,0.0097,0.0039,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.1758,45.2562,42.1269,45.3946,49.8717,45.6444,46.9007,33.455,19.6557,13.797,8.6648,4.4845,2.1615,1.095,0.4701,0.2115,0.097,0.041,0.016,0.0061,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,51.2069,47.0091,43.6534,46.9201,51.4135,46.9408,48.1132,34.2418,20.0786,14.0654,8.8157,4.554,2.1911,1.1081,0.4749,0.2134,0.0976,0.0412,0.0161,0.0061,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.1182,53.701,51.0299,56.191,63.1076,58.9479,61.8262,44.9341,26.8256,19.1409,12.216,6.4195,3.1382,1.6119,0.701,0.3195,0.1485,0.0635,0.0252,0.0098,0.0039,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.0399,54.0336,51.7255,57.4024,64.9863,61.1597,64.6372,47.3078,28.4138,20.4007,13.1,6.9242,3.4032,1.7572,0.7681,0.3518,0.1643,0.0706,0.0282,0.0111,0.0045,0.0016,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.7609,53.235,49.6158,53.5259,58.863,53.9125,55.4264,39.5503,23.2416,16.3165,10.2483,5.3044,2.5568,1.2954,0.556,0.2502,0.1148,0.0484,0.019,0.0072,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,59.1033,56.0609,53.7371,59.7217,67.7179,63.8282,67.5672,49.5292,29.789,21.4188,13.7734,7.2901,3.5875,1.8548,0.8117,0.3722,0.174,0.0748,0.0299,0.0118,0.0048,0.0017,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,64.7996,56.7533,50.3429,51.5532,53.7501,46.8418,45.795,31.202,17.6227,11.8774,7.1663,3.5707,1.6612,0.8131,0.3376,0.1471,0.0653,0.0267,0.0101,0.0037,0.0015,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,68.0476,62.505,58.0585,62.4027,68.3562,62.3698,63.8664,45.4016,26.5922,18.6048,11.6457,6.0083,2.8873,1.4585,0.6244,0.2802,0.1282,0.0539,0.0211,0.008,0.0032,0.0011,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,51.1451,48.0383,45.6125,50.1911,56.3394,52.6098,55.1715,40.099,23.9422,17.0869,10.9076,5.7333,2.8033,1.4403,0.6266,0.2856,0.1328,0.0567,0.0225,0.0087,0.0035,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,63.1694,58.1693,54.1689,58.3857,64.1483,58.7027,60.2984,42.9921,25.2464,17.7114,11.1164,5.7499,2.7699,1.4024,0.6016,0.2706,0.1241,0.0523,0.0205,0.0078,0.0031,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.3989,46.2772,42.9826,46.2092,50.6458,46.2496,47.4148,33.7512,19.7942,13.8686,8.694,4.4918,2.1615,1.0933,0.4686,0.2106,0.0964,0.0407,0.0159,0.0061,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,40.8713,38.0787,35.8728,39.1485,43.5738,40.3702,41.9998,30.304,17.9808,12.75,8.0879,4.2257,2.0548,1.05,0.4544,0.2061,0.0953,0.0406,0.016,0.0062,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.5753,45.2631,41.8092,44.6864,48.685,44.2115,45.0694,31.9152,18.6338,12.9956,8.1097,4.172,1.9996,1.0074,0.4302,0.1926,0.0878,0.0369,0.0144,0.0055,0.0022,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,76.5065,67.5472,60.3809,62.3311,65.518,57.5273,56.6654,38.8737,22.0842,14.9739,9.088,4.5534,2.1295,1.0476,0.437,0.1913,0.0853,0.035,0.0133,0.005,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.2537,50.3455,46.4078,49.4887,53.7857,48.7271,49.5477,35.0024,20.3931,14.1912,8.8365,4.5364,2.17,1.0913,0.4652,0.2079,0.0946,0.0397,0.0154,0.0059,0.0024,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,42.8588,40.3336,38.3741,42.3209,47.6208,44.5756,46.8671,34.1481,20.4341,14.617,9.3526,4.9268,2.414,1.2428,0.5417,0.2474,0.1153,0.0494,0.0196,0.0076,0.0031,0.0011,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.7141,50.1559,46.5063,49.9041,54.586,49.7501,50.8979,36.1594,21.1696,14.8054,9.2644,4.7784,2.2957,1.1594,0.4962,0.2227,0.1018,0.0429,0.0167,0.0064,0.0026,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,66.6828,60.659,55.8126,59.3907,64.3904,58.1878,59.0034,41.5682,24.1587,16.7679,10.4138,5.3327,2.545,1.2769,0.543,0.2421,0.1101,0.0461,0.0179,0.0068,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,60.3343,55.8671,52.3021,56.6861,62.6302,57.6082,59.4778,42.604,25.1174,17.692,11.1482,5.788,2.7977,1.4213,0.6117,0.276,0.127,0.0537,0.0211,0.0081,0.0032,0.0011,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.9411,47.7936,45.3305,49.8223,55.8571,52.0988,54.57,39.6175,23.6316,16.8481,10.7446,5.6422,2.7564,1.4149,0.6151,0.2801,0.1302,0.0556,0.022,0.0085,0.0034,0.0012,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.8412,51.7447,49.3429,54.5349,61.4814,57.6348,60.6696,44.2419,26.4889,18.9572,12.1345,6.3945,3.1341,1.6139,0.7037,0.3214,0.1497,0.0642,0.0255,0.01,0.004,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,79.5046,69.4413,61.4202,62.6928,65.1326,56.5614,55.0895,37.399,21.0552,14.1437,8.5054,4.2244,1.9597,0.9565,0.396,0.1721,0.0762,0.031,0.0118,0.0043,0.0017,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,52.4469,49.2444,46.7399,51.4077,57.6735,53.8243,56.4075,40.97,24.4473,17.4359,11.1231,5.843,2.8552,1.466,0.6374,0.2905,0.1351,0.0577,0.0228,0.0089,0.0036,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.263,44.6482,40.9501,43.445,46.9777,42.3652,42.8867,30.1768,17.5232,12.153,7.5426,3.8601,1.8412,0.9233,0.3924,0.1749,0.0794,0.0332,0.0129,0.0049,0.002,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,59.6578,53.6229,48.7766,51.2883,54.9409,49.1029,49.2456,34.3488,19.7942,13.6198,8.3868,4.2603,2.018,1.0051,0.4244,0.1881,0.0849,0.0353,0.0136,0.0051,0.0021,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,68.9976,59.6938,52.3122,52.8758,54.3837,46.7837,45.1325,30.37,16.9685,11.3096,6.7489,3.3276,1.5331,0.7434,0.3058,0.1321,0.0581,0.0235,0.0089,0.0033,0.0013,4e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,45.7893,43.1629,41.1286,45.428,51.1922,47.9798,50.5063,36.837,22.0612,15.7937,10.1132,5.3313,2.6139,1.3465,0.5873,0.2683,0.1251,0.0536,0.0213,0.0083,0.0033,0.0012,4e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.0397,49.498,45.0429,47.378,50.7638,45.3745,45.5066,31.7385,18.2878,12.5815,7.7462,3.9343,1.8633,0.928,0.3919,0.1736,0.0783,0.0326,0.0126,0.0047,0.0019,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.8827,53.3438,49.7153,53.632,58.9798,54.0208,55.5405,39.6342,23.2924,16.3534,10.2722,5.3171,2.5631,1.2986,0.5575,0.2509,0.1152,0.0486,0.019,0.0073,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,51.4702,48.9751,47.0907,52.5077,59.741,56.4903,59.9964,44.1132,26.6014,19.1787,12.3661,6.5617,3.2367,1.6772,0.7358,0.338,0.1584,0.0683,0.0273,0.0108,0.0044,0.0016,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.1348,47.6586,45.7822,50.9987,57.9663,54.7612,58.1052,42.686,25.7217,18.5305,11.9392,6.3308,3.1207,1.6161,0.7084,0.3253,0.1523,0.0656,0.0263,0.0103,0.0042,0.0015,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,46.5569,43.4655,41.028,44.8655,50.0391,46.4463,48.41,34.9867,20.7882,14.7618,9.3769,4.9057,2.3883,1.2218,0.5294,0.2404,0.1113,0.0474,0.0187,0.0072,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.9074,49.3397,44.872,47.1765,50.5334,45.1649,45.3006,31.602,18.2142,12.5349,7.7202,3.9224,1.8582,0.9258,0.391,0.1733,0.0782,0.0325,0.0125,0.0047,0.0019,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.8377,51.5017,46.4191,48.3357,51.2592,45.3803,45.0743,31.1593,17.818,12.1628,7.4311,3.7468,1.7625,0.8721,0.3658,0.1611,0.0722,0.0298,0.0114,0.0043,0.0017,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,73.4437,66.8991,61.6269,65.6515,71.2504,64.4392,65.3874,46.0899,26.7971,18.6058,11.559,5.921,2.8265,1.4186,0.6035,0.2692,0.1225,0.0512,0.0199,0.0075,0.003,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.9656,49.3218,44.0239,45.3873,47.6591,41.8185,41.1749,28.242,16.044,10.8788,6.6033,3.3089,1.5476,0.7614,0.3177,0.1392,0.0621,0.0256,0.0097,0.0037,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.0437,49.7242,45.4526,48.0429,51.7419,46.4785,46.8549,32.838,19.0018,13.1303,8.1194,4.1409,1.9687,0.9841,0.4171,0.1854,0.0839,0.035,0.0135,0.0051,0.0021,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.9697,51.7091,49.1661,54.1753,60.89,56.9208,59.7514,43.4628,25.967,18.5432,11.8442,6.229,3.0471,1.5662,0.6817,0.3109,0.1447,0.0619,0.0246,0.0096,0.0038,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,56.1666,51.5125,47.788,51.3079,56.1553,51.2107,52.4253,37.2668,21.8297,15.2754,9.5638,4.9354,2.3724,1.1987,0.5133,0.2304,0.1054,0.0445,0.0174,0.0066,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,64.24,56.8835,50.9966,52.8084,55.6899,49.0502,48.4708,33.3521,18.9967,12.9152,7.8594,3.9479,1.8507,0.9126,0.3815,0.1674,0.0748,0.0308,0.0117,0.0044,0.0017,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.1373,46.3672,43.3656,46.9622,51.8566,47.6853,49.2313,35.2707,20.8,14.6562,9.2391,4.7988,2.3206,1.1794,0.5078,0.2292,0.1055,0.0447,0.0175,0.0067,0.0027,9e-04,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.055,45.5577,42.7818,46.5271,51.5979,47.6365,49.3779,35.5046,21.0028,14.8462,9.3881,4.8906,2.3715,1.2085,0.5216,0.236,0.1089,0.0462,0.0182,0.007,0.0028,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,65.2929,58.3034,52.6959,55.0361,58.5473,51.9871,51.7953,35.9082,20.5849,14.0878,8.6291,4.3614,2.0562,1.0196,0.4287,0.1892,0.085,0.0351,0.0135,0.0051,0.002,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.2409,49.8462,46.3365,49.8609,54.7023,50.0019,51.3139,36.562,21.4609,15.0497,9.4426,4.8827,2.3513,1.1902,0.5105,0.2296,0.1051,0.0444,0.0174,0.0066,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,45.6908,43.2209,41.3211,45.7977,51.7865,48.6883,51.41,37.5992,22.5698,16.1958,10.3945,5.4915,2.6977,1.3924,0.6085,0.2785,0.13,0.0558,0.0223,0.0087,0.0035,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,53.5562,48.9093,45.1789,48.2808,52.5821,47.7241,48.6132,34.3949,20.0647,13.9805,8.716,4.4798,2.1452,1.08,0.4607,0.2061,0.094,0.0395,0.0153,0.0058,0.0024,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.9729,52.4071,49.5992,54.3811,60.804,56.5593,59.0678,42.7602,25.4408,18.0893,11.505,6.0261,2.9368,1.5039,0.6523,0.2964,0.1373,0.0586,0.0232,0.009,0.0036,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,65.2089,59.6319,55.1583,59.0316,64.3893,58.5263,59.7075,42.3048,24.7098,17.2394,10.7616,5.5378,2.655,1.338,0.5715,0.2559,0.1168,0.0491,0.0191,0.0073,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,44.4343,41.7008,39.5622,43.4938,48.7742,45.5021,47.6696,34.6134,20.6494,14.7237,9.3909,4.9319,2.4097,1.237,0.5378,0.245,0.1139,0.0486,0.0193,0.0074,0.003,0.0011,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,77.4662,69.7626,63.5614,66.9366,71.7994,64.2358,64.4757,44.9986,25.9419,17.8563,10.9991,5.5889,2.648,1.3194,0.5573,0.247,0.1115,0.0464,0.0179,0.0067,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,59.7893,55.145,51.4297,55.5178,61.0891,55.9781,57.5743,41.0964,24.1562,16.9626,10.6564,5.5168,2.6596,1.3477,0.5787,0.2604,0.1196,0.0504,0.0197,0.0075,0.003,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,51.5208,46.9837,43.3463,46.2681,50.3369,45.6486,46.4669,32.8593,19.1617,13.3469,8.3184,4.2742,2.0462,1.0298,0.4393,0.1965,0.0895,0.0376,0.0146,0.0056,0.0022,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,63.9927,58.047,53.2664,56.5255,61.1167,55.0935,55.731,39.1781,22.7286,15.7463,9.7617,4.9904,2.3779,1.1914,0.5059,0.2253,0.1023,0.0428,0.0166,0.0063,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,56.9655,52.6822,49.2621,53.3258,58.8449,54.0658,55.7584,39.8998,23.5032,16.5407,10.4141,5.4025,2.6096,1.3248,0.5698,0.257,0.1181,0.0499,0.0196,0.0075,0.003,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,59.3019,53.7728,49.3263,52.3234,56.5487,50.9541,51.5206,36.2031,20.9948,14.5395,9.0101,4.6044,2.1933,1.0985,0.4663,0.2076,0.0942,0.0394,0.0153,0.0058,0.0023,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,46.6095,43.5518,41.144,45.0321,50.2704,46.7004,48.7168,35.2362,20.9507,14.8874,9.4632,4.9541,2.4132,1.2353,0.5355,0.2433,0.1128,0.048,0.019,0.0073,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.5761,47.5924,45.2676,49.8986,56.1059,52.4692,55.1009,40.0957,23.9636,17.1187,10.9382,5.7543,2.8159,1.4478,0.6303,0.2875,0.1338,0.0573,0.0227,0.0089,0.0036,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,52.2683,47.9184,44.4353,47.6856,52.1634,47.5453,48.6452,34.5605,20.2344,14.1518,8.8557,4.5676,2.1945,1.1083,0.4744,0.2129,0.0974,0.041,0.016,0.0061,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,47.4651,44.1312,41.4895,45.1773,50.1663,46.373,48.1311,34.6505,20.5198,14.5211,9.1927,4.7939,2.3268,1.1869,0.5128,0.2322,0.1073,0.0455,0.0179,0.0069,0.0028,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,47.9533,44.6638,42.0652,45.894,51.069,47.3039,49.2033,35.4952,21.0581,14.93,9.4694,4.947,2.4052,1.2288,0.5317,0.2412,0.1115,0.0475,0.0187,0.0072,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,47.4104,43.9564,41.2092,44.7364,49.5187,45.635,47.2152,33.8904,20.0177,14.1276,8.9199,4.6398,2.2467,1.1434,0.4929,0.2227,0.1027,0.0435,0.0171,0.0066,0.0026,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,62.3044,56.5857,51.9922,55.2524,59.833,54.019,54.7333,38.5371,22.3877,15.5327,9.6431,4.9366,2.3553,1.1814,0.5023,0.224,0.1017,0.0426,0.0165,0.0063,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,68.9621,61.4801,55.4709,57.8202,61.3751,54.3786,54.0495,37.385,21.3877,14.6059,8.9273,4.5028,2.1189,1.0486,0.4401,0.1939,0.0869,0.036,0.0138,0.0052,0.0021,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,52.1326,48.8117,46.1993,50.6598,56.6542,52.7122,55.0675,39.8782,23.7341,16.8818,10.741,5.6278,2.7436,1.4054,0.6097,0.2772,0.1286,0.0548,0.0217,0.0084,0.0034,0.0012,4e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,62.7422,56.1169,50.8024,53.1528,56.6502,50.3938,50.3028,34.9357,20.0585,13.7496,8.4355,4.27,2.016,1.0011,0.4214,0.1861,0.0837,0.0346,0.0133,0.005,0.002,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.7549,51.9431,48.9259,53.3773,59.3843,54.9867,57.165,41.2135,24.4356,17.313,10.9731,5.7287,2.7835,1.4212,0.6147,0.2786,0.1288,0.0547,0.0216,0.0083,0.0033,0.0012,4e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
