"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,77.6548,149.1626,200.6341,267.004,328.4647,336.0634,270.4119,269.606,277.2535,297.7103,216.9076,218.9407,115.7545,76.2597,41.8631,22.8303,12.4236,5.1981,2.5239,0.8797,0.4298,0.1783,0.0696,0.0246,0.0099,0.0032,0.0012,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,91.6364,176.9673,239.0907,319.3247,393.8136,403.4497,324.7197,323.5786,332.301,356.0088,258.6497,260.1701,137.0786,89.9862,49.2218,26.7499,14.5076,6.0504,2.9285,1.0177,0.4957,0.205,0.0798,0.0282,0.0112,0.0036,0.0013,5e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,60.7679,120.7222,167.5263,229.8214,291.0367,305.8441,252.1052,257.4156,271.0666,297.773,221.2384,227.5282,122.1615,81.6548,45.4451,25.1082,13.8324,5.8562,2.8767,1.0134,0.5007,0.2101,0.0828,0.0296,0.012,0.0039,0.0015,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,83.626,162.2169,219.9835,294.7273,364.3314,373.7895,301.0483,300.0186,307.9527,329.5435,239.0377,239.9464,126.1558,82.6327,45.0987,24.4557,13.2354,5.5088,2.6609,0.923,0.4488,0.1853,0.072,0.0254,0.01,0.0032,0.0012,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,56.9497,119.7102,175.1007,252.9725,336.779,370.8831,319.0862,340.0374,373.7593,427.9952,329.5864,350.7825,193.7166,132.9517,75.8677,42.9171,24.1775,10.4564,5.2455,1.884,0.9495,0.4063,0.1633,0.0595,0.0245,0.0081,0.0031,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,80.9621,154.4395,206.2706,272.4011,332.314,337.0106,268.7507,265.3505,269.9918,286.6587,206.6354,206.2729,107.9918,70.4653,38.3226,20.713,11.1753,4.6376,2.2336,0.7727,0.3746,0.1542,0.0598,0.021,0.0083,0.0027,0.001,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,73.495,147.6723,207.078,286.9629,366.8741,388.891,323.0288,332.3002,352.4731,389.8402,291.2832,301.1354,162.356,108.9384,60.8478,33.7314,18.6422,7.9164,3.9004,1.3778,0.6825,0.2872,0.1135,0.0407,0.0165,0.0054,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,72.6048,140.6104,190.591,255.5762,316.7464,326.3573,264.3123,265.2588,274.6124,296.8308,217.5376,220.8459,117.3326,77.6603,42.8227,23.4532,12.8141,5.3823,2.6234,0.9176,0.4499,0.1873,0.0734,0.0261,0.0104,0.0034,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,75.5835,145.9175,197.206,263.6941,325.9199,334.9668,270.6708,271.0317,279.9622,301.9617,220.8867,223.8454,118.7502,78.4888,43.2221,23.6421,12.9019,5.413,2.6353,0.9209,0.451,0.1876,0.0734,0.026,0.0104,0.0034,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,84.5259,168.1905,233.6001,320.4609,405.3664,425.0237,349.2252,355.0909,371.9596,406.0306,299.6857,305.952,163.1471,108.3028,59.8688,32.861,17.9901,7.5705,3.6967,1.2952,0.6363,0.2654,0.104,0.037,0.0149,0.0048,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,84.4792,169.7306,237.8715,329.214,419.9872,443.8417,367.3054,376.1316,396.791,436.0825,323.7396,332.3393,178.0206,118.6777,65.8673,36.2904,19.9388,8.4193,4.125,1.4498,0.7144,0.299,0.1176,0.042,0.0169,0.0055,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,85.2932,165.4513,224.4338,300.8874,372.3575,382.6145,308.7318,308.3715,317.3767,340.6734,247.8765,249.6537,131.6625,86.5028,47.3524,25.752,13.9754,5.8321,2.8244,0.9821,0.4786,0.1981,0.0772,0.0273,0.0108,0.0035,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,87.5479,176.2028,247.4019,343.1413,438.8466,465.0709,386.0222,396.6255,419.9893,463.4822,345.4566,356.1299,191.4855,128.1294,71.371,39.4598,21.7523,9.2144,4.5289,1.5962,0.7889,0.3312,0.1306,0.0467,0.0189,0.0061,0.0023,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,95.1639,172.9955,221.1067,279.9902,328.5067,321.7132,248.8225,238.5375,235.8495,243.7637,171.7895,167.8843,86.3892,55.4672,29.7083,15.8268,8.423,3.45,1.6404,0.5608,0.2686,0.1092,0.0418,0.0145,0.0056,0.0018,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,100.4459,193.976,261.9121,349.3281,429.8385,438.9665,351.9625,349.1167,356.5797,379.6474,274.1025,273.8534,143.3977,93.5568,50.867,27.4836,14.8226,6.149,2.9604,1.0238,0.4961,0.2042,0.0791,0.0278,0.011,0.0035,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,75.6792,150.4321,208.8726,286.7121,363.3052,382.0301,315.1011,321.9522,339.2673,372.9708,277.3011,285.3879,153.3222,102.5455,57.1055,31.5683,17.4008,7.3707,3.6226,1.2768,0.6311,0.2649,0.1044,0.0374,0.0151,0.0049,0.0019,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,93.2711,180.7262,244.9003,327.9913,405.4997,416.2854,335.6178,334.9442,344.4332,369.4111,268.5931,270.3302,142.484,93.561,51.1892,27.8247,15.0931,6.2957,3.0475,1.0592,0.516,0.2135,0.0831,0.0293,0.0116,0.0038,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,74.3926,143.6574,194.2007,259.7385,321.1043,330.0863,266.7766,267.1807,276.0336,297.7744,217.8547,220.8025,117.1489,77.4384,42.6478,23.3301,12.7327,5.3424,2.6012,0.9091,0.4453,0.1852,0.0725,0.0257,0.0103,0.0033,0.0012,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,60.4242,118.876,163.5084,222.4297,279.5019,291.7208,239.0557,242.744,254.2872,278.0384,205.8151,210.9812,113.0012,75.3684,41.8634,23.087,12.6972,5.3668,2.632,0.9259,0.4567,0.1914,0.0753,0.0269,0.0108,0.0035,0.0013,5e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,73.132,140.2027,188.2665,250.177,307.3951,314.2274,252.6899,251.8312,258.9136,278.012,202.5911,204.558,108.194,71.3107,39.1645,21.3686,11.6334,4.8696,2.3654,0.8248,0.4031,0.1673,0.0653,0.0231,0.0093,0.003,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,112.4525,206.4988,266.2865,339.9326,401.631,395.5785,307.3392,295.8014,293.4711,304.1524,214.7522,210.1678,108.2422,69.545,37.269,19.8642,10.5763,4.3337,2.0613,0.7051,0.3378,0.1375,0.0526,0.0183,0.0071,0.0023,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,81.4906,155.8018,208.6034,276.2717,338.1523,344.196,275.5488,273.2425,279.3656,298.1652,216.0144,216.7786,114.0299,74.7522,40.8388,22.1695,12.0111,5.0045,2.4199,0.8402,0.4089,0.169,0.0657,0.0232,0.0092,0.003,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,63.4317,126.4217,176.0511,242.5116,308.5949,326.0807,270.3779,277.9272,294.8921,326.6637,244.6945,253.8474,137.3651,92.5322,51.8909,28.8793,16.0213,6.8284,3.3764,1.1967,0.595,0.2511,0.0996,0.0358,0.0145,0.0048,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,80.7471,155.5797,209.814,279.8473,344.8689,353.2704,284.4564,283.7104,291.7598,313.1639,228.0063,229.9156,121.4277,79.9062,43.8142,23.8672,12.9735,5.4224,2.6301,0.9159,0.447,0.1853,0.0722,0.0256,0.0102,0.0033,0.0012,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,98.328,187.538,250.302,330.0799,401.7662,406.188,322.7297,317.2501,321.1351,338.9632,242.9087,240.9538,125.4232,81.3724,44.0067,23.6571,12.6978,5.2434,2.513,0.8654,0.4176,0.1712,0.066,0.0231,0.0091,0.0029,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,89.1377,173.924,237.1289,319.3346,396.642,408.6822,330.3787,330.4224,340.3201,365.3233,265.6697,267.3019,140.7959,92.3764,50.4955,27.4224,14.8615,6.1936,2.9955,1.0403,0.5064,0.2094,0.0815,0.0287,0.0114,0.0037,0.0014,5e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,75.3683,149.5987,207.4242,284.3085,359.7141,377.6737,311.0379,317.2914,333.7835,366.2884,271.882,279.3373,149.8498,100.0791,55.6545,30.7253,16.9146,7.156,3.5127,1.2367,0.6106,0.256,0.1008,0.036,0.0145,0.0048,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,81.188,162.2909,226.377,311.875,396.1403,416.9731,343.8414,350.8774,368.8841,404.1048,299.188,306.3592,163.7711,108.9731,60.3743,33.2089,18.2172,7.6808,3.7576,1.3188,0.6491,0.2713,0.1065,0.038,0.0153,0.005,0.0019,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,116.7237,211.3788,268.9715,338.764,394.8997,383.8977,294.5982,279.9554,274.1022,280.3051,195.5268,189.034,96.3375,61.2697,32.513,17.1672,9.0587,3.6801,1.7357,0.5889,0.2799,0.113,0.0429,0.0148,0.0057,0.0018,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,77.6024,154.176,213.9158,293.3265,371.15,389.5647,320.6373,326.7905,343.3592,376.2168,278.7857,285.8866,153.0868,102.0542,56.6503,31.2201,17.1581,7.2473,3.552,1.2487,0.6155,0.2577,0.1013,0.0362,0.0146,0.0048,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,72.6139,137.9219,183.6755,242.2192,295.6132,300.4763,240.5226,238.7232,244.5468,261.8035,190.3795,191.9179,101.4049,66.7829,36.6537,19.9873,10.8758,4.5503,2.2094,0.7701,0.3762,0.1561,0.0609,0.0215,0.0086,0.0028,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,87.8567,165.068,217.4376,283.3966,341.5522,342.6607,270.7111,264.911,267.2449,281.5103,201.6107,200.0578,104.2415,67.7209,36.6788,19.7481,10.6158,4.39,2.1071,0.7267,0.3512,0.1442,0.0556,0.0194,0.0077,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,101.1948,181.0418,227.7743,283.7215,327.2508,315.0192,239.5911,225.6657,218.9748,221.9719,153.6432,147.4184,74.6475,47.1843,24.8911,13.069,6.8595,2.7724,1.301,0.4394,0.2078,0.0835,0.0315,0.0108,0.0041,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,67.7807,135.3594,188.7783,260.2921,331.3104,349.9168,289.8213,297.4055,314.8159,347.675,259.5661,268.2454,144.626,97.061,54.2295,30.0728,16.626,7.0627,3.4809,1.23,0.6096,0.2566,0.1014,0.0364,0.0147,0.0048,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,81.0598,152.3775,200.7313,261.4886,314.7778,315.2229,248.461,242.4478,243.75,255.7501,182.4314,180.2416,93.5421,60.529,32.6559,17.516,9.382,3.8665,1.8496,0.6358,0.3063,0.1253,0.0482,0.0168,0.0066,0.0021,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,85.4725,165.7906,224.9033,301.5647,373.3076,383.7597,309.8251,309.6707,318.9698,342.7015,249.5869,251.6338,132.8317,87.3528,47.8616,26.0521,14.1504,5.91,2.8644,0.9968,0.4861,0.2014,0.0785,0.0277,0.011,0.0036,0.0013,4e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,76.2675,154.125,217.2389,302.4759,388.3319,413.0737,344.0696,354.7967,377.0963,417.6997,312.3705,323.0833,174.2024,116.8763,65.2693,36.1741,19.9872,8.4854,4.1797,1.4762,0.7312,0.3076,0.1215,0.0436,0.0176,0.0057,0.0022,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,74.2809,149.927,211.0865,293.5979,376.5646,400.2096,333.1061,343.2508,364.5849,403.6059,301.6937,311.9185,168.1343,112.7767,62.9657,34.8901,19.274,8.1811,4.029,1.4227,0.7045,0.2963,0.1171,0.042,0.017,0.0055,0.0021,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
