"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,51.1434,46.7253,47.925,34.1293,20.0237,14.0348,8.8015,4.549,2.1898,1.108,0.4751,0.2136,0.0978,0.0413,0.0161,0.0062,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,60.3211,55.3483,57.012,40.7564,23.989,16.8696,10.6134,5.5022,2.6561,1.3477,0.5792,0.2609,0.1199,0.0507,0.0199,0.0076,0.003,0.0011,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,39.8977,37.4139,39.4101,28.7641,17.2379,12.3496,7.9137,4.1748,2.0482,1.0558,0.4608,0.2107,0.0983,0.0421,0.0167,0.0065,0.0026,9e-04,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.0253,50.6684,52.3758,37.5612,22.168,15.6321,9.8614,5.1254,2.48,1.2612,0.5434,0.2454,0.113,0.0478,0.0188,0.0072,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,37.1961,36.4354,40.1331,30.5256,18.9586,14.0921,9.3648,5.1138,2.5906,1.3778,0.6197,0.2917,0.1401,0.0619,0.0253,0.0103,0.0042,0.0016,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,53.355,48.4927,49.4665,35.0451,20.4675,14.2781,8.9122,4.5856,2.1982,1.1078,0.473,0.2118,0.0967,0.0406,0.0158,0.006,0.0024,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,48.2032,45.6018,48.468,35.6689,21.529,15.5377,10.0291,5.3272,2.6304,1.3644,0.599,0.2755,0.1293,0.0557,0.0223,0.0087,0.0035,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,47.7816,43.931,45.352,32.4916,19.162,13.5031,8.5129,4.4221,2.1387,1.0871,0.4682,0.2113,0.0973,0.0412,0.0162,0.0062,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.7562,45.6345,46.9931,33.5897,19.7702,13.9032,8.7474,4.5351,2.1894,1.1109,0.4776,0.2153,0.0988,0.0418,0.0164,0.0063,0.0026,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.4872,52.1065,54.9572,40.154,24.0839,17.2682,11.0742,5.8462,2.8701,1.4803,0.6465,0.2958,0.1381,0.0593,0.0236,0.0092,0.0037,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.4071,52.4212,55.7135,40.9951,24.739,17.85,11.5186,6.1168,3.0195,1.5658,0.6872,0.316,0.1483,0.0639,0.0256,0.0101,0.0041,0.0015,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,56.1226,51.6747,53.4156,38.3089,22.6112,15.9463,10.0607,5.2296,2.5309,1.2871,0.5545,0.2504,0.1154,0.0488,0.0192,0.0074,0.0029,0.001,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.4109,54.387,57.8821,42.6469,25.7658,18.6137,12.0261,6.3937,3.1596,1.6401,0.7207,0.3317,0.1559,0.0673,0.0269,0.0106,0.0043,0.0015,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,62.9927,55.1447,54.1505,37.0403,20.9892,14.194,8.5922,4.2944,2.0038,0.9836,0.4095,0.1789,0.0796,0.0326,0.0123,0.0046,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
