"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,32.0523,24.2621,23.81,23.903,27.4126,36.1272,54.2053,68.3235,93.1505,159.9709,267.3317,360.9773,471.0163,522.198,485.2668,396.5861,384.8902,386.5671,354.6684,290.8283,218.7839,112.8086,75.661,41.4909,19.705,9.2899,4.204,1.8155,0.681,0.3007,0.1218,0.0442,0.0156,0.0059,0.0019,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,37.78,28.7086,28.2933,28.5269,32.8615,43.5101,65.5926,83.0368,113.6686,195.9656,328.4784,444.2426,579.5677,641.1421,593.4472,482.454,465.0357,463.2441,421.1564,342.0162,254.7133,130.1822,86.5219,47.0145,22.1362,10.3517,4.648,1.9918,0.7418,0.3251,0.1307,0.0471,0.0165,0.0062,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,24.9085,19.2932,19.4243,20.0224,23.6084,32.045,49.5914,64.3897,90.4013,160.1527,275.7795,382.3543,510.348,575.9185,541.6724,446.1136,435.0807,437.6689,400.8351,327.1953,244.5407,125.2409,83.3768,45.3688,21.3866,10.0117,4.4997,1.9302,0.7195,0.3157,0.127,0.0459,0.0161,0.0061,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,34.445,26.2575,25.9681,26.2756,30.38,40.3797,61.1134,77.6479,106.6547,184.484,310.0611,419.982,548.0233,605.4126,558.8295,452.5989,434.0985,429.8433,388.1895,313.0166,231.4072,117.5127,77.5849,41.8782,19.5942,9.109,4.0667,1.733,0.6419,0.2798,0.1119,0.0402,0.014,0.0052,0.0017,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,23.0722,18.5717,19.5162,21.0278,25.976,37.0492,60.4006,82.4457,121.6404,227.1677,411.6138,596.8462,827.4964,960.9742,920.1757,765.1346,748.843,750.8657,681.0228,547.7522,401.9573,202.2612,132.1282,70.5143,32.6301,15.0104,6.6335,2.7987,1.0269,0.4435,0.1757,0.0625,0.0216,0.008,0.0026,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,33.4638,25.2166,24.6212,24.5859,28.0359,36.7225,54.7359,68.5423,92.8197,158.1947,262.2238,351.1169,454.0702,498.715,459.1771,371.8561,357.33,355.2146,322.6244,261.9826,195.2263,99.8694,66.4491,36.1513,17.0419,7.9786,3.5864,1.5387,0.5736,0.2517,0.1014,0.0366,0.0128,0.0048,0.0016,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,30.0545,23.4606,23.825,24.7787,29.4914,40.4298,63.2217,82.9073,117.5449,210.395,365.8502,511.4729,687.2834,779.1676,734.5466,605.3227,589.8894,592.0708,540.3182,439.049,326.4207,166.3614,110.181,59.6392,27.9731,13.0333,5.8312,2.4902,0.9243,0.4038,0.1619,0.0583,0.0203,0.0076,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,29.9175,22.7726,22.4872,22.7203,26.2328,34.8219,52.6438,66.8411,91.7936,158.8705,267.5286,363.77,477.6731,532.4647,496.9388,407.5209,396.7114,399.4335,367.1336,301.4085,226.911,117.0413,78.5192,43.0655,20.4553,9.6446,4.3649,1.8852,0.7072,0.3123,0.1265,0.046,0.0162,0.0062,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,31.1652,23.6712,23.3185,23.5019,27.0646,35.8267,54.0059,68.3795,93.6477,161.6063,271.3671,368.0647,482.2599,536.6387,500.2116,409.8514,398.7289,401.3252,368.8546,302.8827,228.1085,117.7104,79.0072,43.356,20.6039,9.7193,4.4008,1.9015,0.7137,0.3153,0.1278,0.0464,0.0164,0.0062,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,34.6338,26.8615,27.0819,27.9541,33.0056,44.8596,69.5071,90.331,126.8942,224.8132,386.7574,534.9224,710.9123,797.0985,743.6698,606.8411,585.3182,581.5079,525.6189,423.354,312.1761,158.0491,103.9863,55.9221,26.0715,12.0788,5.3748,2.283,0.8431,0.3664,0.1461,0.0523,0.0182,0.0068,0.0022,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,34.5457,26.9702,27.3915,28.4888,33.9058,46.4752,72.6539,95.2297,134.9104,241.1631,418.4638,583.1266,779.8489,878.4648,821.9021,671.6442,648.1035,643.4557,580.6222,466.4848,342.9279,173.1095,113.5382,60.8628,28.2879,13.0679,5.7987,2.4564,0.9049,0.3921,0.156,0.0557,0.0193,0.0072,0.0023,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,35.1323,26.7788,26.4815,26.7938,30.9786,41.1767,62.3266,79.2058,108.8321,188.3598,316.8737,429.8235,562.02,622.5749,576.518,468.5807,451.2953,448.9289,407.3691,330.0722,245.2002,125.0327,82.899,44.9356,21.1082,9.8494,4.4131,1.8872,0.7014,0.3068,0.1231,0.0443,0.0155,0.0058,0.0019,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,35.7882,27.9709,28.4435,29.6223,35.3051,48.469,75.9003,99.6575,141.4452,253.3977,440.7941,615.9847,826.5188,934.5539,877.8693,720.3296,698.2735,696.6345,631.6517,509.871,376.5374,190.8007,125.6237,67.5984,31.5311,14.6148,6.5061,2.7647,1.0214,0.4441,0.1771,0.0635,0.022,0.0082,0.0027,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,39.7261,28.9601,27.2556,26.2033,28.7165,36.0627,51.4371,61.7589,80.2447,130.9363,208.1838,268.8044,337.0196,361.2983,327.1429,261.9959,249.8215,247.4173,224.8065,183.2429,137.4045,70.7689,47.4467,26.0209,12.3618,5.8303,2.6396,1.1404,0.4279,0.189,0.0766,0.0278,0.0097,0.0037,0.0012,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,41.4105,31.4737,31.0234,31.2822,36.0363,47.7097,71.9065,90.99,124.4679,214.3294,358.5758,483.5566,628.2677,691.2381,635.7461,513.2193,490.632,484.3043,436.1415,350.8033,258.7551,131.1654,86.446,46.581,21.7596,10.1005,4.503,1.9162,0.7088,0.3086,0.1233,0.0442,0.0153,0.0057,0.0019,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,31.0169,24.0338,24.2075,24.9641,29.4491,39.9934,61.9256,80.4474,113.0074,200.3215,345.1647,478.851,639.5513,722.1762,679.6337,560.0476,546.5142,550.0827,504.0613,411.6627,307.8137,157.7056,105.029,57.1718,26.9598,12.6247,5.676,2.4356,0.9081,0.3986,0.1605,0.058,0.0203,0.0077,0.0025,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,38.4273,29.2682,28.9191,29.2348,33.7701,44.8436,67.8077,86.0868,118.1717,204.3124,343.3646,465.3387,607.9788,673.0551,622.975,506.1727,487.3774,484.7457,439.846,356.3976,264.7807,135.0326,89.5411,48.5429,22.806,10.643,4.7694,2.0399,0.7583,0.3317,0.1332,0.0479,0.0167,0.0063,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,30.6725,23.3013,22.959,23.1446,26.6591,35.2986,53.2231,67.4046,92.3344,159.3797,267.692,363.1558,475.9121,529.647,493.7387,404.5698,393.6027,396.1674,364.1057,298.9696,225.1477,116.1753,77.9717,42.7847,20.331,9.59,4.342,1.8761,0.704,0.311,0.1261,0.0458,0.0161,0.0061,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,24.8178,19.0943,19.0815,19.5187,22.8303,30.7261,47.1295,60.678,84.488,148.3907,253.4753,349.0932,463.579,521.5073,489.9746,403.7374,394.4785,398.0997,366.199,300.5003,225.9125,116.3236,77.8791,42.6211,20.2011,9.5053,4.2934,1.8507,0.693,0.3055,0.1235,0.0448,0.0158,0.006,0.002,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
