"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,89.1481,135.4467,205.0951,367.1043,670.1353,963.8326,1523.9003,1546.1909,1189.5644,1072.7467,842.7859,530.7861,304.2186,181.621,91.0674,47.507,25.3852,12.4477,5.6074,2.4855,1.1388,0.4583,0.1928,0.0754,0.0304,0.0109,0.0045,0.0017,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,6e-04,0,NA
0,105.2326,160.6985,244.4194,439.1576,803.3791,1154.4934,1815.9946,1825.2209,1387.4106,1232.7041,952.7611,590.3601,333.1874,195.9256,96.821,49.8082,26.2354,12.6843,5.6388,2.4671,1.116,0.4436,0.1843,0.0712,0.0284,0.0101,0.0041,0.0016,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,0,NA
0,69.8979,109.6545,171.3653,317.0917,598.4594,886.1111,1438.1073,1485.1781,1153.7084,1045.8691,822.5555,517.1482,295.4695,175.7121,87.7402,45.5809,24.2498,11.8393,5.3116,2.3449,1.0702,0.4291,0.1798,0.07,0.0281,0.0101,0.0041,0.0016,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,3e-04,5e-04,0,NA
0,96.0588,147.3074,224.8975,405.4349,743.3026,1068.147,1674.998,1673.0205,1261.379,1109.4447,848.0098,519.6708,290.2396,168.928,82.6609,42.1236,21.9731,10.5224,4.6358,2.0107,0.9017,0.3554,0.1464,0.0561,0.0223,0.0079,0.0032,0.0012,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,0,NA
0,65.7218,108.7896,179.3224,351.1719,702.3779,1095.8198,1869.1531,2002.5152,1592.2368,1467.0629,1164.2671,734.643,419.9609,249.4978,124.3699,64.48,34.2277,16.6724,7.4634,3.2877,1.4971,0.599,0.2504,0.0973,0.039,0.0139,0.0057,0.0022,0.001,4e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,6e-04,0,NA
0,92.9087,140.2254,210.8148,374.1319,675.8684,960.3806,1494.7342,1490.5652,1127.2577,997.7708,769.3019,476.0114,268.438,157.772,77.9402,40.0849,21.1089,10.2035,4.535,1.9839,0.8973,0.3566,0.1481,0.0572,0.0228,0.0081,0.0033,0.0013,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,0,NA
0,84.5929,134.1466,211.8696,396.3872,756.2824,1130.0131,1847.7894,1916.1374,1490.1002,1349.6945,1058.9314,663.5513,377.7444,223.7858,111.3235,57.6196,30.5378,14.8531,6.6401,2.9213,1.3286,0.531,0.2217,0.0861,0.0345,0.0123,0.005,0.0019,8e-04,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,5e-04,0,NA
0,83.39,127.6909,194.8617,351.7087,647.6125,938.9377,1496.4696,1528.3168,1181.5674,1070.0736,843.5813,532.7162,305.9805,183.0197,91.926,48.0314,25.707,12.6254,5.696,2.5283,1.1601,0.4676,0.1969,0.0771,0.0311,0.0112,0.0046,0.0018,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,4e-04,6e-04,0,NA
0,86.7952,132.5062,201.6121,362.7606,665.877,962.7862,1530.694,1560.6152,1205.3759,1091.016,859.9284,543.0794,311.9988,186.6724,93.7898,49.0208,26.2451,12.894,5.8189,2.5837,1.1859,0.4781,0.2014,0.0789,0.0319,0.0114,0.0047,0.0018,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,4e-04,6e-04,0,NA
0,97.2352,152.7686,238.9459,442.0736,832.5187,1226.1923,1969.6679,2004.6827,1531.3979,1361.2681,1048.5873,646.0859,362.2645,211.5315,103.7977,53.0293,27.7323,13.3132,5.8789,2.5555,1.1485,0.4537,0.1872,0.0719,0.0285,0.0101,0.0041,0.0015,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,0,NA
0,97.2361,154.1813,243.364,454.6195,864.5834,1284.5267,2079.902,2128.6708,1631.3028,1452.8479,1119.9187,689.9526,386.6492,225.5987,110.6077,56.46,29.5,14.149,6.2425,2.7113,1.2176,0.4806,0.1982,0.076,0.0301,0.0106,0.0043,0.0016,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,0,NA
0,97.9734,150.2464,229.4536,413.9716,760.2119,1095.5666,1726.3086,1735.2219,1317.4068,1167.992,900.2097,556.0916,312.8956,183.4324,90.3787,46.3611,24.3477,11.7374,5.2036,2.2707,1.0245,0.4061,0.1683,0.0648,0.0258,0.0092,0.0037,0.0014,6e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,0,NA
0,100.778,160.0644,253.1285,474.0005,904.3552,1349.2058,2197.6412,2265.0122,1748.4491,1569.7497,1219.9319,757.3606,427.4138,251.0738,123.8899,63.6283,33.4547,16.145,7.1646,3.1294,1.4132,0.5608,0.2325,0.0897,0.0357,0.0126,0.0051,0.0019,9e-04,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,4e-04,0,NA
0,108.9041,157.0084,225.781,382.7758,661.6999,907.3943,1373.5942,1351.2527,1020.1799,908.2734,708.6745,445.1848,255.1316,152.4889,76.5919,40.0336,21.4379,10.5353,4.756,2.1123,0.9699,0.3911,0.1649,0.0646,0.0262,0.0095,0.0039,0.0015,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,5e-04,0,NA
0,115.35,176.1386,267.7335,480.2706,875.6093,1250.9976,1948.6178,1933.6063,1449.3172,1267.1933,963.1544,587.2519,326.509,189.2265,92.2203,46.8149,24.3245,11.6035,5.0936,2.2014,0.9837,0.3864,0.1586,0.0606,0.024,0.0084,0.0034,0.0013,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,0,NA
0,87.0524,136.6416,213.6625,395.6164,747.2254,1107.2876,1798.866,1859.6854,1446.0676,1312.2773,1033.1418,650.161,371.7829,221.275,110.5769,57.4867,30.6069,14.9541,6.7137,2.9658,1.3544,0.5434,0.2278,0.0888,0.0357,0.0128,0.0052,0.002,9e-04,4e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,6e-04,0,NA
0,107.1306,164.116,250.3724,451.2085,827.6468,1191.521,1875.6679,1883.965,1429.6387,1267.0277,976.3001,603.0049,339.2608,198.8758,97.9829,50.2597,26.3942,12.7235,5.6405,2.4613,1.1104,0.4403,0.1824,0.0703,0.028,0.01,0.004,0.0015,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,0,NA
0,85.429,130.4543,198.5406,357.3285,656.0769,948.8247,1508.7771,1538.4388,1188.2972,1075.559,847.7162,535.3368,307.5308,183.9862,92.4338,48.3088,25.8622,12.705,5.7333,2.5455,1.1683,0.471,0.1984,0.0777,0.0314,0.0113,0.0046,0.0018,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,4e-04,6e-04,0,NA
