"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,139.2224,510.9347,1222.6251,2716.9428,4930.7025,6190.2472,5087.5298,4505.0673,3640.5512,2782.3616,1402.7133,948.7541,348.4327,160.8378,62.3664,24.3641,9.6484,2.9746,1.0688,0.2823,0.1036,0.0324,0.0096,0.0026,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,164.4374,607.0772,1456.5422,3223.9864,5758.4826,7018.6832,5560.3475,4736.8253,3691.7612,2737.9823,1350.3516,896.55,324.5829,147.8861,56.6323,21.8631,8.5611,2.611,0.9282,0.2427,0.0881,0.0273,0.008,0.0022,7e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,109.5669,419.1191,1041.7509,2397.7471,4465.7593,5656.6779,4609.0314,3997.6792,3140.8176,2327.7428,1141.5512,751.9489,270.0738,122.0882,46.3921,17.7769,6.9119,2.0936,0.7393,0.1921,0.0693,0.0213,0.0062,0.0017,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,150.1754,557.2134,1340.457,2961.123,5234.2516,6254.6555,4835.6219,4016.2323,3057.3153,2223.5292,1080.8862,708.803,254.1342,114.7616,43.5728,16.6851,6.4833,1.9627,0.6926,0.1798,0.0649,0.0199,0.0058,0.0016,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,103.6701,425.2795,1129.0051,2773.8404,5468.9907,7174.1244,5887.7648,5036.995,3845.9499,2748.4841,1301.1592,827.5603,288.3819,126.6927,46.8225,17.4716,6.6242,1.9585,0.6752,0.1716,0.0606,0.0182,0.0052,0.0014,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,144.9823,527.1475,1246.7488,2721.2255,4803.459,5814.8481,4601.7365,3932.3814,3083.4739,2304.6189,1145.2777,766.2063,279.2308,128.0213,49.3243,19.1529,7.5413,2.3122,0.8262,0.2171,0.0792,0.0246,0.0073,0.002,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,132.7685,514.9778,1296.0075,3015.075,5650.4731,7148.8729,5779.4132,4953.7328,3839.1291,2807.3201,1361.3006,887.3921,315.9883,141.7013,53.4282,20.3217,7.846,2.3607,0.828,0.2138,0.0767,0.0234,0.0068,0.0018,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,130.3485,483.2742,1167.8526,2621.7583,4804.7922,6078.8805,5017.9793,4450.387,3592.9768,2738.182,1375.5398,926.7442,339.1432,156.0167,60.2959,23.4803,9.2701,2.8497,1.021,0.2689,0.0984,0.0307,0.0091,0.0025,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,135.6238,500.8812,1206.0968,2698.7167,4933.7647,6236.5938,5152.046,4577.965,3705.6965,2832.2958,1426.5584,963.5433,353.3588,162.8804,63.07,24.6059,9.7316,2.9965,1.0753,0.2836,0.104,0.0324,0.0096,0.0026,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,152.4447,583.859,1448.1515,3301.2651,6009.2243,7333.8566,5724.5251,4757.7395,3599.5029,2589.9622,1244.3038,805.9445,285.7991,127.7101,47.9936,18.198,7.0055,2.1018,0.7352,0.1894,0.0678,0.0206,0.006,0.0016,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,152.6097,591.5245,1483.6772,3418.9988,6278.2548,7695.4005,6003.492,4970.4297,3738.155,2671.3699,1275.2606,820.8529,289.5318,128.7253,48.1378,18.1671,6.9624,2.0799,0.7244,0.1859,0.0663,0.0201,0.0058,0.0015,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,153.1692,568.5168,1370.0703,3041.5121,5431.6696,6591.8703,5184.6056,4378.8001,3382.7331,2488.7868,1219.6552,805.1538,290.1476,131.63,50.1985,19.3028,7.5303,2.2883,0.8105,0.2112,0.0764,0.0236,0.0069,0.0019,6e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,158.2,614.6884,1547.2125,3587.9078,6660.5922,8289.1078,6570.947,5521.6529,4204.2285,3031.6347,1455.7328,941.2992,333.1208,148.547,55.7083,21.081,8.0997,2.4256,0.8469,0.2177,0.0778,0.0237,0.0068,0.0018,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,169.0456,579.7106,1303.7591,2736.2916,4758.6605,5876.8242,4881.7414,4455.2089,3760.0569,3019.4226,1593.3723,1126.6119,429.5775,205.4157,82.4177,33.2629,13.5854,4.3146,1.5963,0.4331,0.1634,0.0525,0.016,0.0045,0.0014,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,180.2447,664.9519,1589.5959,3483.1853,6093.3418,7197.5102,5507.433,4535.454,3430.918,2485.4524,1205.7543,789.7118,282.9531,127.7082,48.4656,18.5504,7.2051,2.1803,0.7691,0.1996,0.072,0.0221,0.0064,0.0017,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,136.4659,522.4042,1299.5669,2994.5857,5586.4024,7090.3719,5788.6478,5029.7113,3957.1589,2935.4948,1440.3581,949.1092,340.9611,154.1613,58.5892,22.4542,8.7318,2.6454,0.9342,0.2428,0.0876,0.0269,0.0078,0.0021,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,167.4648,620.723,1493.9337,3312.1995,5908.4313,7165.4566,5634.7032,4759.8674,3678.8408,2708.3481,1328.0923,877.3004,316.3234,143.5812,54.7846,21.0768,8.2263,2.501,0.8862,0.231,0.0836,0.0258,0.0075,0.002,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,133.493,493.1763,1187.8977,2658.6752,4861.2917,6144.8601,5075.3696,4508.5817,3648.3292,2787.5208,1403.6074,947.791,347.5062,160.1501,62.0005,24.184,9.563,2.9441,1.0564,0.2786,0.1021,0.0319,0.0094,0.0026,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,108.7681,411.1827,1011.8728,2312.0879,4300.769,5488.0147,4535.0831,4003.721,3204.424,2415.5269,1200.6745,800.4687,290.2961,132.4101,50.7502,19.6072,7.6832,2.3448,0.8341,0.2182,0.0793,0.0246,0.0072,0.0019,6e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,131.0712,479.9435,1146.8246,2548.756,4639.3007,5862.3874,4859.9223,4344.7125,3543.4794,2729.5713,1384.1938,940.9186,346.8946,160.6939,62.5214,24.5032,9.7329,3.0095,1.0844,0.2871,0.1056,0.0331,0.0098,0.0027,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,200.0931,694.37,1575.0203,3315.0736,5721.4227,6922.4891,5585.8592,4930.0241,4021.6101,3131.7589,1613.3297,1116.7873,418.7579,197.1866,77.9597,31.0269,12.5055,3.9213,1.4327,0.3843,0.1433,0.0455,0.0137,0.0038,0.0012,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,145.9847,532.5091,1265.4332,2785.3609,4987.4462,6158.504,4978.4058,4342.2774,3465.8971,2625.9424,1316.9737,887.4948,325.1557,149.7874,57.9717,22.6071,8.9376,2.751,0.9869,0.2602,0.0953,0.0297,0.0088,0.0024,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,114.4324,439.7409,1100.5448,2565.4882,4888.6811,6403.3106,5415.6828,4872.0941,3950.583,2998.0946,1493.1961,995.3466,360.5454,164.22,62.849,24.2462,9.4877,2.8917,1.0273,0.2685,0.0975,0.0301,0.0088,0.0024,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,144.8414,533.423,1279.0355,2839.9911,5122.7384,6352.473,5138.4422,4472.6981,3555.781,2680.3729,1337.595,896.9095,327.1927,150.1124,57.8677,22.4813,8.8559,2.7164,0.9711,0.2552,0.0932,0.029,0.0085,0.0023,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,176.0752,639.6492,1507.3285,3258.2017,5639.3568,6629.1857,5078.64,4204.1153,3204.963,2342.4653,1145.8443,756.6177,273.0005,124.0351,47.3757,18.2453,7.1282,2.1692,0.7694,0.2007,0.0728,0.0225,0.0066,0.0018,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,160.2312,598.785,1449.4465,3217.732,5699.0136,6794.0636,5222.88,4305.7539,3251.5465,2346.8744,1133.6841,739.1154,263.7328,118.5627,44.8208,17.0919,6.6153,1.9951,0.7014,0.1815,0.0653,0.02,0.0058,0.0015,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,135.8721,519.1676,1288.8587,2961.7479,5504.1855,6953.8339,5651.716,4891.3032,3836.4069,2840.1565,1392.033,916.6103,329.1466,148.768,56.5218,21.6554,8.4189,2.5498,0.9003,0.2339,0.0844,0.0259,0.0076,0.002,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,146.5379,564.4473,1407.7003,3227.1524,5905.0501,7233.3989,5655.0157,4699.7079,3551.0177,2549.7719,1222.2768,789.8512,279.5199,124.6608,46.7587,17.6975,6.801,2.0371,0.7113,0.183,0.0654,0.0199,0.0057,0.0015,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
