"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,86.1942,130.1264,223.045,252.2946,220.122,231.22,215.1307,160.8443,108.7642,76.5863,45.047,27.4236,17.1772,9.8509,5.1418,2.6314,1.3906,0.6427,0.3105,0.1389,0.064,0.0261,0.0123,0.0054,0.0027,0.0013,6e-04,4e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,2e-04,4e-04,0.0012,0.0025,0.0056,0.017,0.0508,0.1204,0.2757,0.5324,0.8356,1.1331,1.9003,0,NA
0,101.7401,154.37,265.8395,301.7398,263.8585,277.6191,258.5442,193.3662,130.7455,92.0342,54.1078,32.9219,20.6087,11.8115,6.1614,3.1514,1.6643,0.7687,0.3712,0.166,0.0765,0.0312,0.0147,0.0064,0.0032,0.0016,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,2e-04,5e-04,0.0014,0.0029,0.0066,0.0199,0.0594,0.1405,0.3216,0.6202,0.9725,1.3177,2.2076,0,NA
0,67.5601,105.2728,186.4996,217.2918,194.5125,209.729,200.1347,153.1637,105.7861,76.0266,45.5888,28.2715,18.0457,10.5426,5.5992,2.9145,1.5663,0.7356,0.3613,0.1641,0.0769,0.0319,0.0153,0.0068,0.0034,0.0017,8e-04,5e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,4e-04,8e-04,0.0022,0.0047,0.0113,0.0356,0.1101,0.2699,0.6388,1.2719,2.0533,2.8604,4.9349,0,NA
0,92.867,141.4946,244.6305,278.5069,244.0568,257.2181,239.8249,179.4907,121.4076,85.4757,50.2546,30.5769,19.1398,10.9687,5.7213,2.926,1.5452,0.7135,0.3446,0.154,0.071,0.0289,0.0136,0.006,0.003,0.0015,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,0,1e-04,1e-04,2e-04,5e-04,0.0013,0.0027,0.0061,0.0185,0.055,0.1301,0.2975,0.5739,0.8997,1.2188,2.0415,0,NA
0,63.49,104.3175,195.4057,239.4306,224.029,252.7998,252.2063,201.1511,144.259,107.5244,66.7344,42.7751,28.2388,17.0519,9.3414,5.0117,2.7753,1.3418,0.6786,0.3172,0.1527,0.065,0.032,0.0146,0.0077,0.004,0.0019,0.0012,6e-04,4e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,4e-04,7e-04,0.0014,0.0035,0.0098,0.0231,0.0584,0.1969,0.6481,1.6874,4.2279,8.8898,15.0859,22.0251,39.9133,0,NA
0,89.8357,134.7384,229.2294,257.3405,222.8791,232.2013,214.1775,158.7606,106.4761,74.3618,43.3926,26.2136,16.2896,9.2691,4.8026,2.4402,1.2804,0.5876,0.282,0.1253,0.0573,0.0233,0.0109,0.0047,0.0023,0.0011,5e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,2e-04,3e-04,9e-04,0.0018,0.0041,0.0123,0.036,0.084,0.1897,0.3616,0.5608,0.7518,1.2457,0,NA
0,81.7549,128.7555,230.6386,271.3706,244.9806,266.4011,256.2919,197.601,137.3904,99.3728,59.9465,37.389,24.0049,14.1044,7.5311,3.9407,2.1288,1.0049,0.4961,0.2266,0.1065,0.0443,0.0212,0.0095,0.0048,0.0024,0.0011,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,6e-04,0.0013,0.0035,0.0078,0.0188,0.06,0.1877,0.4656,1.1126,2.2363,3.6415,5.1145,8.9006,0,NA
0,80.6207,122.6542,211.9542,241.5353,212.1217,224.3345,210.1256,158.09,107.5192,76.1353,45.0211,27.5487,17.3461,9.9992,5.2445,2.6966,1.4317,0.6646,0.3226,0.145,0.0671,0.0275,0.013,0.0057,0.0029,0.0014,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,1e-04,1e-04,1e-04,2e-04,5e-04,0.0014,0.003,0.0068,0.0208,0.0626,0.15,0.3466,0.6749,1.0676,1.4587,2.4658,0,NA
0,83.9152,127.2875,219.2808,249.1915,218.3191,230.3232,215.2232,161.5704,109.6677,77.5075,45.7492,27.9454,17.5647,10.1075,5.2926,2.717,1.4402,0.6676,0.3235,0.1452,0.0671,0.0275,0.013,0.0057,0.0029,0.0014,6e-04,4e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,1e-04,1e-04,1e-04,2e-04,5e-04,0.0013,0.0029,0.0065,0.0197,0.0592,0.1412,0.3253,0.6319,0.997,1.3588,2.2906,0,NA
0,93.9816,146.6608,260.0563,302.9737,270.9603,291.6454,277.6019,211.8086,145.818,104.4349,62.4062,38.5671,24.5287,14.2788,7.5579,3.9211,2.1003,0.9834,0.4815,0.2181,0.1018,0.0421,0.02,0.0089,0.0045,0.0022,0.001,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,4e-04,0.001,0.0026,0.0057,0.0134,0.0422,0.1296,0.3158,0.7427,1.4699,2.3598,3.27,5.6102,0,NA
0,93.9739,147.9867,264.9209,311.3055,280.5116,304.2556,291.7764,224.1655,155.2953,111.8972,67.248,41.7873,26.7256,15.643,8.3225,4.3394,2.336,1.0989,0.5406,0.2461,0.1154,0.0479,0.0228,0.0102,0.0052,0.0026,0.0012,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,6e-04,0.0013,0.0034,0.0076,0.0182,0.0577,0.1793,0.4418,1.0487,2.0946,3.3907,4.7357,8.1927,0,NA
0,94.7179,144.3166,249.5864,284.3376,249.4042,263.1991,245.7974,184.2861,124.8759,88.082,51.8826,31.6249,19.833,11.3873,5.95,3.0481,1.6125,0.7458,0.3607,0.1615,0.0745,0.0304,0.0144,0.0063,0.0031,0.0015,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,2e-04,5e-04,0.0014,0.003,0.0068,0.0205,0.0612,0.1454,0.3336,0.6456,1.0149,1.3786,2.316,0,NA
0,97.3956,153.6273,275.5623,324.4954,293.0357,318.6497,306.4352,236.0997,164.0188,118.5166,71.4219,44.4999,28.5392,16.7502,8.9344,4.6701,2.5203,1.1885,0.5861,0.2675,0.1257,0.0523,0.025,0.0112,0.0057,0.0028,0.0013,8e-04,4e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,6e-04,0.0015,0.004,0.0089,0.0215,0.0685,0.2138,0.5291,1.2621,2.532,4.1159,5.7715,10.0266,0,NA
0,105.3501,151.0138,245.2517,264.2982,221.1214,222.5564,198.6683,142.9526,93.3511,63.5511,36.2031,21.3733,12.9737,7.2142,3.6581,1.82,0.9352,0.4205,0.1977,0.0861,0.0386,0.0154,0.007,0.003,0.0015,7e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,1e-04,1e-04,3e-04,7e-04,0.0015,0.0043,0.0118,0.0262,0.0567,0.1038,0.1555,0.2016,0.3224,0,NA
0,111.5218,169.2047,291.1962,330.067,288.0636,302.2727,280.578,209.0903,140.86,98.7778,57.8549,35.072,21.8709,12.4875,6.4908,3.3083,1.7412,0.8014,0.3857,0.1719,0.0789,0.0321,0.0151,0.0066,0.0033,0.0016,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,2e-04,5e-04,0.0013,0.0027,0.0061,0.0184,0.0544,0.128,0.2909,0.5577,0.8692,1.1712,1.9506,0,NA
0,84.1405,131.1799,232.5353,271.085,242.7986,261.9476,250.1182,191.5307,132.3601,95.1785,57.104,35.4312,22.6279,13.2266,7.0281,3.6601,1.9679,0.9247,0.4544,0.2065,0.0968,0.0401,0.0192,0.0085,0.0043,0.0022,0.001,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,5e-04,0.001,0.0028,0.006,0.0144,0.0455,0.1409,0.3459,0.8193,1.6328,2.6382,3.6778,6.3504,0,NA
0,103.572,157.6426,272.334,309.9443,271.6279,286.3953,267.226,200.1892,135.5514,95.5433,56.2393,34.258,21.47,12.3191,6.433,3.2937,1.7414,0.8051,0.3892,0.1741,0.0803,0.0328,0.0155,0.0068,0.0034,0.0017,8e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,3e-04,6e-04,0.0015,0.0032,0.0071,0.0217,0.0646,0.1533,0.3515,0.6794,1.0672,1.4483,2.4304,0,NA
0,82.5942,125.316,215.9418,245.4551,215.0893,226.9623,212.1242,159.2727,108.1254,76.4294,45.1193,27.5646,17.3278,9.9726,5.2226,2.6815,1.4216,0.659,0.3194,0.1433,0.0663,0.0271,0.0128,0.0056,0.0028,0.0014,6e-04,4e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,0,1e-04,1e-04,2e-04,5e-04,0.0013,0.0028,0.0064,0.0196,0.0587,0.1401,0.3229,0.6273,0.9899,1.3494,2.2753,0,NA
0,67.1461,103.6755,181.9555,210.2705,186.937,200.1955,189.8244,144.4484,99.2656,71.0008,42.3861,26.1745,16.6355,9.6779,5.1199,2.6548,1.4214,0.6651,0.3255,0.1473,0.0688,0.0284,0.0135,0.006,0.003,0.0015,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,7e-04,0.0018,0.0038,0.009,0.0279,0.0854,0.2081,0.4887,0.9664,1.5503,2.1466,3.68,0,NA
0,81.1663,122.3134,209.282,236.3901,206.0242,216.2062,201.0058,150.1939,101.5156,71.4543,42.0144,25.5698,16.0112,9.1797,4.7901,2.4508,1.2948,0.5982,0.289,0.1293,0.0595,0.0243,0.0115,0.005,0.0025,0.0012,6e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,2e-04,4e-04,0.0011,0.0023,0.0052,0.0157,0.0468,0.1108,0.2536,0.4896,0.7681,1.0413,1.7456,0,NA
0,124.5501,180.2372,295.4713,320.922,270.1696,273.5182,245.435,177.3924,116.2839,79.4437,45.4043,26.8878,16.3721,9.1318,4.6436,2.3166,1.1938,0.5383,0.2538,0.1109,0.0499,0.0199,0.009,0.0039,0.0019,9e-04,4e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,5e-04,9e-04,0.0021,0.006,0.0167,0.0374,0.0816,0.1506,0.2265,0.295,0.4739,0,NA
0,90.4316,135.9246,231.8524,261.0196,226.7222,237.0002,219.4053,163.2399,109.8748,77.0142,45.0992,27.3382,17.0487,9.735,5.0606,2.5796,1.3578,0.625,0.3008,0.1341,0.0615,0.025,0.0118,0.0051,0.0025,0.0012,6e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,2e-04,4e-04,0.001,0.0021,0.0049,0.0145,0.0429,0.1006,0.2287,0.4385,0.6838,0.9213,1.5348,0,NA
0,70.5324,110.2402,196.0277,229.319,206.1495,223.385,214.3427,164.9667,114.5714,82.8056,49.9276,31.1291,19.9802,11.737,6.2658,3.278,1.7705,0.8355,0.4125,0.1883,0.0886,0.0369,0.0177,0.0079,0.004,0.002,9e-04,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,5e-04,0.0011,0.0029,0.0064,0.0154,0.0492,0.1537,0.3811,0.9103,1.8292,2.978,4.1816,7.2757,0,NA
0,89.6401,135.7188,233.274,264.4372,231.0795,243.0525,226.3687,169.3663,114.5824,80.7125,47.4871,28.9157,18.1155,10.391,5.4246,2.7766,1.4675,0.6783,0.3278,0.1467,0.0676,0.0276,0.013,0.0057,0.0028,0.0014,6e-04,4e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,0,1e-04,1e-04,2e-04,5e-04,0.0012,0.0026,0.006,0.0181,0.054,0.128,0.2935,0.567,0.8902,1.2075,2.0257,0,NA
0,109.1048,163.6123,278.1427,311.8067,269.5215,280.053,257.4893,190.2045,127.1174,88.4559,51.4329,30.9618,19.1705,10.8692,5.6126,2.8424,1.4866,0.68,0.3252,0.1441,0.0658,0.0266,0.0124,0.0054,0.0027,0.0013,6e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,2e-04,4e-04,9e-04,0.0019,0.0043,0.0127,0.0369,0.0855,0.1919,0.3636,0.5607,0.7476,1.2318,0,NA
0,99.0157,151.6951,263.7587,301.7888,265.583,281.0911,263.1336,197.6471,134.1191,94.7148,55.8466,34.0723,21.3872,12.2902,6.4271,3.2951,1.7445,0.8074,0.3909,0.1751,0.0809,0.0331,0.0156,0.0068,0.0034,0.0017,8e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,6e-04,0.0015,0.0033,0.0075,0.0228,0.0683,0.1628,0.3742,0.725,1.1412,1.5519,2.6104,0,NA
0,83.789,130.4549,230.9068,268.8027,240.4332,259.0205,246.9541,188.8336,130.3175,93.5824,56.0731,34.7476,22.1626,12.938,6.8665,3.5718,1.9182,0.9003,0.4419,0.2006,0.0939,0.0389,0.0186,0.0083,0.0042,0.0021,0.001,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,4e-04,0.001,0.0026,0.0056,0.0135,0.0425,0.1313,0.3215,0.7598,1.511,2.4367,3.3907,5.8432,0,NA
0,90.2904,141.509,252.0654,294.8828,264.6911,285.9761,273.2171,209.1852,144.4681,103.786,62.1988,38.5462,24.5855,14.3519,7.6165,3.9616,2.1274,0.9985,0.4901,0.2226,0.1041,0.0431,0.0205,0.0091,0.0046,0.0023,0.0011,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,5e-04,0.0011,0.0029,0.0063,0.0151,0.0477,0.1474,0.361,0.8529,1.696,2.7345,3.8044,6.5551,0,NA
0,129.1951,184.5225,298.2671,319.7171,265.9733,265.9194,235.6438,168.2987,109.1089,73.738,41.7088,24.454,14.7383,8.1382,4.0993,2.0263,1.0346,0.4624,0.2161,0.0936,0.0418,0.0165,0.0075,0.0032,0.0016,7e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,1e-04,1e-04,3e-04,6e-04,0.0013,0.0037,0.0103,0.0225,0.0479,0.0869,0.1288,0.1652,0.2611,0,NA
0,86.277,134.4447,238.1387,277.3279,248.0784,267.2154,254.6676,194.622,134.2242,96.3174,57.6684,35.709,22.7576,13.2747,7.04,3.6592,1.9637,0.921,0.4518,0.205,0.0959,0.0397,0.0189,0.0084,0.0043,0.0021,0.001,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,4e-04,0.001,0.0026,0.0056,0.0134,0.0422,0.1303,0.3187,0.752,1.4935,2.4053,3.3433,5.7542,0,NA
0,80.5549,120.3377,204.1076,228.8418,198.2504,206.856,191.3163,142.3124,95.8162,67.1997,39.3814,23.8922,14.9132,8.5237,4.4349,2.2627,1.1921,0.5492,0.2647,0.118,0.0542,0.022,0.0104,0.0045,0.0023,0.0011,5e-04,3e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,2e-04,4e-04,9e-04,0.0019,0.0045,0.0133,0.0394,0.0926,0.2106,0.4045,0.6316,0.8523,1.4219,0,NA
0,97.4145,144.0373,241.4943,267.6614,229.3317,236.3813,215.8449,158.549,105.4756,73.0956,42.3457,25.4048,15.6761,8.8586,4.5603,2.3025,1.2006,0.5477,0.2613,0.1154,0.0525,0.0211,0.0098,0.0042,0.0021,0.001,5e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,3e-04,7e-04,0.0014,0.0031,0.0092,0.0265,0.0612,0.1365,0.2573,0.3949,0.5242,0.8595,0,NA
0,111.9423,158.0608,252.4575,267.7063,220.6257,218.4773,191.8071,135.8099,87.3531,58.5844,32.8972,19.1533,11.4614,6.2843,3.1446,1.5445,0.7834,0.3479,0.1615,0.0695,0.0308,0.0121,0.0054,0.0023,0.0011,5e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,4e-04,8e-04,0.0022,0.006,0.0132,0.0276,0.0496,0.0727,0.0921,0.144,0,NA
0,75.3758,118.0297,210.2081,246.1293,221.3222,239.7805,229.9198,176.7729,122.6196,88.4991,53.2832,33.1728,21.2591,12.4688,6.6468,3.4723,1.8727,0.8826,0.4351,0.1984,0.0933,0.0388,0.0185,0.0083,0.0042,0.0021,0.001,6e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,5e-04,0.0011,0.0029,0.0064,0.0155,0.0492,0.1535,0.3795,0.9041,1.8121,2.9432,4.1235,7.1572,0,NA
0,89.8811,132.9615,222.9344,246.9589,211.3803,217.5497,198.2655,145.3208,96.46,66.6923,38.547,23.0732,14.2038,8.0079,4.1133,2.0724,1.0783,0.4908,0.2336,0.103,0.0467,0.0188,0.0087,0.0037,0.0019,9e-04,4e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,6e-04,0.0012,0.0026,0.0077,0.022,0.0506,0.1125,0.2112,0.3229,0.4271,0.6976,0,NA
0,94.9167,144.613,250.1104,284.9806,250.0325,263.9595,246.6222,185.0001,125.4262,88.5192,52.1688,31.8166,19.9644,11.4691,5.996,3.0732,1.6265,0.7527,0.3643,0.1632,0.0753,0.0308,0.0145,0.0064,0.0032,0.0016,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,2e-04,5e-04,0.0014,0.0031,0.0069,0.0211,0.063,0.1499,0.3443,0.6669,1.0493,1.4267,2.3988,0,NA
0,84.8628,134.3714,242.0093,286.063,259.2101,282.8772,273.0077,211.0576,147.0817,106.6043,64.4307,40.257,25.8924,15.2397,8.1504,4.2713,2.311,1.0924,0.5401,0.247,0.1163,0.0485,0.0233,0.0105,0.0054,0.0027,0.0013,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,6e-04,0.0015,0.004,0.009,0.0216,0.0694,0.2178,0.5417,1.2984,2.6172,4.2731,6.016,10.4961,0,NA
0,82.6474,130.7136,235.144,277.6616,251.3784,274.0944,264.3178,204.1923,142.2069,103.0091,62.223,38.8568,24.9783,14.694,7.8547,4.1144,2.225,1.0513,0.5196,0.2375,0.1118,0.0466,0.0223,0.0101,0.0051,0.0026,0.0012,7e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,6e-04,0.0014,0.0038,0.0085,0.0205,0.0656,0.2056,0.5109,1.2236,2.4643,4.0202,5.656,9.8601,0,NA
0,76.5136,118.4243,208.3251,241.1863,214.711,230.2018,218.4664,166.3445,114.3596,81.8217,48.857,30.1757,19.1817,11.1608,5.905,3.0623,1.6397,0.7673,0.3756,0.17,0.0794,0.0328,0.0156,0.0069,0.0035,0.0017,8e-04,5e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,8e-04,0.002,0.0044,0.0104,0.0325,0.0997,0.2428,0.5705,1.1284,1.8106,2.5075,4.2995,0,NA
