"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,49.984,59.1661,95.4274,159.1921,310.183,708.2529,1830.9453,3597.5752,6557.7806,11439.2383,12451.7436,7536.1142,3715.252,1506.7443,547.973,186.5154,72.323,28.6296,10.6221,3.685,1.1874,0.3016,0.099,0.0266,0.0064,0.0016,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,58.9499,70.105,113.635,190.4581,372.6586,853.1562,2201.5169,4275.9112,7580.3694,12585.8784,12962.055,7553.0482,3646.7126,1461.1201,526.9118,178.0639,68.5387,26.9294,9.9183,3.4169,1.0933,0.2761,0.0901,0.024,0.0057,0.0014,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,38.9783,47.4588,79.0006,136.1094,274.3632,648.6978,1732.5771,3471.4683,6295.9103,10486.0748,10537.0292,5922.1578,2768.1831,1079.5542,380.5573,125.9964,47.4737,18.2507,6.5792,2.2209,0.6962,0.1728,0.0554,0.0145,0.0034,8e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,53.7716,64.1925,104.4818,175.8082,345.2391,792.3929,2043.3333,3937.8497,6847.1072,10989.7014,10909.0717,6203.0051,2954.8931,1174.5078,421.15,141.6296,54.2411,21.2033,7.7703,2.6642,0.8483,0.2133,0.0692,0.0184,0.0044,0.0011,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,36.3154,46.3553,81.367,148.0229,316.1301,794.0365,2249.846,4694.8033,8545.7199,13418.8567,12097.6561,6155.8508,2676.6806,987.7243,332.7113,105.7421,38.18,14.052,4.8527,1.5728,0.4732,0.1134,0.0352,0.0089,0.002,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,52.1494,61.3825,98.3534,162.902,314.7624,711.2399,1812.1474,3488.8461,6176.6506,10373.4837,10936.249,6524.4679,3207.3406,1302.8583,475.0845,162.1434,63.0538,25.0347,9.3157,3.2408,1.0471,0.2666,0.0878,0.0236,0.0057,0.0014,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,47.0861,57.8793,97.3773,169.5953,345.746,826.8317,2230.5197,4488.1047,8088.1193,13171.2611,12813.3378,7013.0226,3220.3948,1240.0364,432.7297,141.9858,52.9999,20.1814,7.2071,2.4113,0.7491,0.1845,0.0587,0.0153,0.0036,9e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,46.6941,55.6513,90.452,152.0935,298.873,688.5934,1796.5493,3556.4689,6508.5139,11318.3917,12179.6288,7271.3777,3544.6625,1424.8852,514.4685,173.986,67.0147,26.3479,9.7102,3.3472,1.0716,0.2707,0.0884,0.0236,0.0056,0.0014,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,48.6256,57.8002,93.6666,157.0229,307.5781,706.3328,1837.1689,3629.9809,6645.179,11603.9524,12580.7993,7564.9194,3707.0882,1495.9028,541.7527,183.7056,70.9557,27.9765,10.3392,3.5734,1.1471,0.2904,0.095,0.0254,0.0061,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.2072,66.1018,110.1929,190.0423,383.137,904.1642,2397.4247,4718.365,8264.0438,13041.2219,12441.5206,6790.525,3132.6344,1214.0314,426.3028,140.6912,52.8372,20.2455,7.2746,2.4481,0.765,0.1894,0.0605,0.0159,0.0037,9e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.1231,66.5352,111.9265,194.8353,396.6848,945.7339,2532.0599,5013.4101,8772.5107,13679.7558,12795.2584,6862.1728,3125.8437,1199.7799,417.9859,136.9724,51.0624,19.4184,6.9258,2.3144,0.7182,0.1767,0.0562,0.0146,0.0034,8e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.8439,65.4673,106.56,179.3479,352.4179,810.1084,2096.716,4071.7233,7178.0606,11759.722,11903.5655,6843.4895,3275.7685,1304.8165,468.4289,157.6748,60.4425,23.6495,8.6747,2.9768,0.9487,0.2387,0.0776,0.0206,0.0049,0.0012,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,56.0794,69.0361,116.3267,202.8759,414.0236,990.2598,2665.1,5321.7234,9436.4268,14973.5806,14201.7466,7660.4338,3493.6966,1340.4817,466.6678,152.8122,56.9225,21.6292,7.708,2.5738,0.798,0.1962,0.0624,0.0162,0.0038,9e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,61.6031,69.6291,106.6494,168.7648,311.0878,670.8906,1643.0227,3116.4807,5678.8179,10539.8254,13007.2153,8976.0058,4894.0451,2138.0791,824.1259,295.1584,120.6183,50.3633,19.6899,7.1784,2.4312,0.6438,0.2203,0.0617,0.0155,0.004,0.001,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
