"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,70.5265,128.1067,264.805,431.8884,808.2648,1895.3941,3313.1426,4766.4532,5528.9168,4694.5847,2806.9207,1691.5586,1153.54,737.3857,373.0298,243.3959,98.6146,39.0741,16.6846,6.9097,2.4225,0.7665,0.2767,0.0756,0.0268,0.008,0.0023,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,83.2306,151.9949,315.7358,516.8077,968.6842,2264.7069,3911.6076,5494.9169,6156.4302,5034.202,2910.6948,1701.7304,1127.5428,701.4638,346.824,221.2628,87.9032,34.2282,14.3631,5.8473,2.0167,0.6284,0.2236,0.0602,0.021,0.0062,0.0018,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,55.2114,103.6875,221.8779,374.0858,723.5414,1752.6897,3130.0015,4519.2764,5148.529,4225.038,2430.825,1408.7047,923.1612,567.2555,277.2199,174.7283,68.6615,26.4748,11.0008,4.4355,1.5156,0.4682,0.1652,0.0441,0.0153,0.0045,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,75.9595,139.3317,290.6366,477.2463,896.1,2091.9204,3584.6575,4954.1725,5420.7811,4321.9145,2443.8611,1400.5042,910.4693,556.2984,270.8702,170.214,66.7312,25.6797,10.6496,4.2856,1.4617,0.4508,0.1587,0.0423,0.0146,0.0043,0.0012,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,51.7763,102.8266,233.2771,416.2727,853.0154,2193.7732,4098.9258,6033.2434,6773.8075,5333.6758,2919.3911,1606.9786,998.999,582.3048,271.636,163.3768,61.5819,22.8791,9.1595,3.5603,1.1745,0.3513,0.12,0.0311,0.0105,0.003,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,73.5249,132.644,272.0499,439.8326,814.1686,1879.2505,3214.9731,4497.6084,5052.4842,4165.597,2433.4295,1438.3688,964.0069,606.7094,303.069,195.3625,78.3306,30.7522,13.011,5.3399,1.856,0.5825,0.2086,0.0565,0.0198,0.0059,0.0017,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,66.7837,126.838,274.5841,468.0631,915.0115,2238.4809,4017.5127,5785.6262,6517.9562,5261.676,2976.7893,1697.271,1094.4804,662.0197,319.1441,198.4308,77.0425,29.3895,12.0817,4.8201,1.6304,0.499,0.1744,0.0461,0.0158,0.0046,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,65.9462,120.7625,251.7619,414.0656,781.6437,1850.1421,3259.9438,4715.415,5478.9702,4642.4135,2764.2488,1657.5081,1124.0636,714.3749,359.4931,233.3087,94.0773,37.1174,15.7815,6.5083,2.2725,0.7164,0.2577,0.0702,0.0248,0.0074,0.0022,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,68.6493,125.3198,260.4154,426.9665,803.509,1896.0965,3334.0733,4820.5491,5609.8582,4768.0354,2849.1813,1714.7113,1167.2289,744.5837,375.9211,244.77,98.9842,39.154,16.6903,6.9004,2.4153,0.7631,0.2751,0.0751,0.0265,0.0079,0.0023,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,76.7989,144.4649,309.4372,521.5002,1005.7921,2415.8156,4236.4435,5933.0561,6492.2674,5117.5568,2847.2188,1602.839,1022.4981,612.7635,293.2335,181.0518,69.8735,26.514,10.842,4.303,1.4482,0.4412,0.1534,0.0405,0.0138,0.004,0.0011,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,76.7653,145.7902,315.4119,536.7324,1045.2933,2535.4454,4476.6951,6281.2652,6845.3097,5351.1441,2949.4261,1644.7598,1039.2018,616.8276,292.6923,179.1852,68.631,25.867,10.5061,4.1421,1.3851,0.4195,0.1451,0.0381,0.013,0.0037,0.0011,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,77.4733,142.1062,296.5162,487.333,916.809,2149.411,3712.4959,5194.6985,5773.9113,4674.8591,2677.3681,1551.3554,1018.935,628.5432,308.5086,195.3946,77.1313,29.8634,12.4604,5.0444,1.7304,0.5366,0.19,0.0509,0.0177,0.0052,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,79.5553,151.3471,328.1093,559.7393,1093.8832,2668.3998,4752.7021,6750.4588,7462.5266,5909.5526,3289.805,1849.6413,1177.2803,703.4815,335.6688,206.61,79.5106,30.0935,12.2741,4.859,1.6314,0.4959,0.1721,0.0453,0.0155,0.0044,0.0013,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,86.3733,148.5608,290.1803,448.2863,794.9879,1767.3356,2977.1798,4236.2605,5019.6599,4470.9178,2832.4307,1815.0134,1319.5423,899.653,481.65,332.6807,141.7172,58.7173,26.2164,11.344,4.1479,1.3645,0.5119,0.1451,0.0532,0.0166,0.005,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,91.2327,166.6113,345.8718,565.0988,1055.0169,2445.2431,4156.1974,5694.6616,6181.4229,4899.949,2760.8342,1578.3418,1024.2138,624.9298,303.9908,190.8633,74.7743,28.7574,11.9188,4.7936,1.634,0.5037,0.1773,0.0472,0.0163,0.0048,0.0014,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,68.7598,129.2051,276.6557,466.7515,903.4746,2190.8313,3917.5031,5665.0826,6464.4151,5312.1055,3059.2138,1774.1787,1163.3904,715.2483,349.6895,220.491,86.6732,33.4295,13.8947,5.6038,1.9153,0.5919,0.2089,0.0557,0.0193,0.0056,0.0016,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,84.7188,155.2257,323.5191,531.119,998.047,2337.1171,4033.079,5640.8844,6270.9897,5080.7758,2912.3742,1689.0915,1110.4774,685.6866,336.8505,213.5337,84.358,32.6843,13.6469,5.5287,1.8978,0.5888,0.2086,0.0559,0.0194,0.0057,0.0017,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,67.5678,123.3788,256.4538,420.5821,791.6972,1868.6706,3286.2775,4751.2671,5527.9389,4696.6713,2805.4239,1687.7093,1148.3913,732.2806,369.5842,240.5627,97.2538,38.4593,16.3899,6.7745,2.3706,0.7488,0.2699,0.0736,0.026,0.0078,0.0023,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,54.8927,102.0985,216.3382,361.444,693.2356,1667.8453,2974.8719,4325.9737,5008.0845,4196.2017,2463.6747,1455.3829,971.7797,608.011,301.7774,193.1524,76.9344,30.0233,12.6261,5.1512,1.7801,0.5558,0.1981,0.0534,0.0186,0.0055,0.0016,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,66.4172,120.4098,248.4316,404.5624,756.3088,1773.4466,3106.6745,4492.8242,5254.7615,4504.2445,2716.7786,1650.508,1134.3018,730.4328,371.8112,244.0833,99.4196,39.579,16.9798,7.0645,2.4877,0.7903,0.2865,0.0786,0.028,0.0084,0.0025,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,102.0778,177.3426,349.8382,545.0937,973.4109,2171.8414,3642.8095,5104.7314,5888.6119,5074.4545,3112.2506,1932.9069,1362.5098,901.6348,470.5804,316.9681,132.1048,53.6837,23.5099,9.9815,3.5838,1.1592,0.4277,0.1193,0.0431,0.0132,0.0039,0.0011,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,74.0066,133.8108,275.1911,446.3954,830.1039,1930.1287,3338.5464,4742.7011,5427.1716,4554.2743,2699.1556,1615.2453,1094.8463,696.2074,350.7489,227.9711,92.0609,36.3719,15.4861,6.3952,2.2359,0.7057,0.2542,0.0692,0.0245,0.0073,0.0021,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,57.6331,108.5785,233.2466,395.1506,769.5014,1885.4587,3428.9712,5085.0902,5989.0852,5075.5652,2997.5153,1775.9243,1187.357,742.9888,368.5673,235.6864,93.7842,36.5648,15.3626,6.2617,2.162,0.6744,0.2402,0.0647,0.0226,0.0067,0.0019,5e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,73.3378,133.6214,277.0085,452.8382,848.7016,1989.2689,3461.6286,4930.7429,5633.3331,4702.8201,2768.8774,1645.3185,1107.0267,698.7122,349.6904,225.7721,90.6355,35.6205,15.0863,6.1978,2.1562,0.6774,0.2429,0.0659,0.0231,0.0069,0.002,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,89.2962,161.0789,330.1181,532.7136,982.2921,2248.6872,3789.8055,5180.7966,5651.9264,4526.7797,2580.9763,1493.5586,981.3767,606.3473,298.2373,189.3545,74.9232,29.0711,12.1563,4.932,1.6953,0.5267,0.1868,0.0501,0.0174,0.0051,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,80.9714,149.3893,313.4774,517.6272,977.048,2291.2805,3932.5356,5420.2957,5888.4264,4650.1254,2604.8067,1479.355,953.2003,577.3551,279.0022,174.0019,67.7607,25.9205,10.6855,4.2748,1.4498,0.4448,0.1559,0.0414,0.0142,0.0041,0.0012,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,68.476,128.4892,274.6953,462.6855,893.907,2162.2351,3854.6728,5554.4608,6315.0166,5173.899,2973.454,1721.7683,1127.5742,692.4841,338.2799,213.1325,83.726,32.2743,13.4068,5.4039,1.8459,0.5702,0.2011,0.0537,0.0186,0.0054,0.0016,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
