"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,68.6889,81.0206,95.9456,133.0863,188.9309,218.8335,284.6231,250.6103,175.8945,147.8533,110.6538,67.5099,37.8752,22.2429,11.0031,5.6719,2.9953,1.4523,0.6474,0.2841,0.1289,0.0513,0.0213,0.0083,0.0033,0.0012,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,81.0495,96.0546,114.2474,159.1512,226.8072,263.4719,343.4129,302.6934,212.4969,178.5764,133.5636,81.4192,45.6372,26.7754,13.2325,6.8148,3.5953,1.7414,0.7756,0.34,0.154,0.0613,0.0255,0.0099,0.0039,0.0014,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,53.7248,65.2463,79.5065,113.6635,166.4098,198.2978,265.3873,239.6294,171.7689,147.4627,112.6173,70.0063,39.9539,23.8559,11.9895,6.2752,3.366,1.6573,0.7495,0.3335,0.1534,0.0619,0.0261,0.0102,0.0041,0.0015,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,NA
0,73.9599,87.9956,105.0439,146.8592,209.9881,244.5723,319.4362,281.9049,198.0123,166.4401,124.478,75.862,42.5082,24.9302,12.3159,6.3403,3.3436,1.6189,0.7208,0.3158,0.143,0.0569,0.0236,0.0092,0.0036,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,50.3067,64.1549,82.027,123.4012,190.387,238.1796,334.952,316.0558,235.1403,209.5597,165.9025,106.6206,62.7294,38.5745,19.9395,10.7211,5.9125,2.9915,1.3881,0.6333,0.2986,0.1235,0.0534,0.0214,0.0089,0.0032,0.0014,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,3e-04,5e-04,0,NA
0,71.6217,83.9809,98.8453,136.1738,191.8608,220.5309,284.3772,248.2761,172.8955,144.1213,106.9516,64.7233,36.0369,21.0061,10.317,5.2817,2.7695,1.3334,0.5905,0.2575,0.116,0.0459,0.0189,0.0073,0.0029,0.001,4e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,64.9657,79.6781,98.0305,141.5701,209.4058,251.8811,340.2552,309.7204,223.4908,193.128,148.4108,92.7828,53.2269,31.9396,16.1286,8.4799,4.57,2.2605,1.0267,0.4588,0.2119,0.0859,0.0364,0.0143,0.0058,0.0021,9e-04,3e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,0,NA
0,64.214,76.2817,90.9679,127.1241,181.859,212.1618,277.9875,246.401,173.9271,147.0482,110.6729,67.8781,38.2668,22.579,11.2199,5.8088,3.0813,1.5006,0.6717,0.2959,0.1347,0.0539,0.0225,0.0088,0.0035,0.0013,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,NA
0,66.8515,79.1974,94.1917,131.2569,187.2288,217.8454,284.6698,251.7271,177.3341,149.6305,112.4007,68.8156,38.7324,22.8176,11.3213,5.8529,3.1001,1.5075,0.6739,0.2965,0.1348,0.0538,0.0224,0.0087,0.0035,0.0012,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,74.7274,90.888,110.8796,158.6438,232.3168,276.6744,369.6912,332.9857,237.9868,203.5817,154.8617,95.8812,54.5095,32.4214,16.2334,8.4656,4.5241,2.2194,1.0003,0.4436,0.2034,0.0818,0.0344,0.0134,0.0054,0.002,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,NA
