"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,104.2192,276.8621,499.175,873.1374,1366.052,1695.551,1573.151,1747.4767,1926.3478,2112.8239,1503.2541,1432.4538,703.8288,427.3056,215.5437,108.1087,54.25,20.9912,9.434,3.0622,1.3897,0.5365,0.1951,0.0646,0.0242,0.0073,0.0025,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,123.0385,328.7428,595.1272,1042.7514,1628.0642,2007.0474,1841.6202,2014.4592,2177.7593,2334.9784,1624.9156,1513.8095,729.585,434.9435,215.623,106.3894,52.5657,20.0401,8.876,2.8426,1.2723,0.4844,0.1738,0.0568,0.0209,0.0062,0.0021,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,81.7825,225.5689,421.0313,761.4737,1228.1524,1562.9573,1476.7063,1661.3332,1842.4756,2016.2712,1421.5105,1335.4059,646.0713,385.9674,191.5796,94.6004,46.7675,17.8381,7.9042,2.5324,1.134,0.432,0.1551,0.0507,0.0188,0.0056,0.0019,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,112.3247,301.559,547.8624,961.7528,1500.3945,1841.8698,1677.7749,1816.4667,1938.1858,2046.7789,1403.4842,1288.0814,612.9203,361.0217,176.936,86.3596,42.2339,15.944,6.9939,2.22,0.9846,0.3716,0.1321,0.0428,0.0157,0.0047,0.0016,5e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,77.0036,226.2225,447.9064,858.7964,1464.3751,1957.2149,1923.3462,2233.4352,2530.0575,2788.0095,1952.8854,1805.6927,856.623,501.0303,243.4082,117.702,57.0313,21.3367,9.276,2.9202,1.2841,0.4806,0.1695,0.0545,0.0198,0.0058,0.002,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,108.5964,286.1885,511.4629,884.8674,1365.1455,1665.553,1515.7436,1646.9985,1772.2387,1896.3828,1320.4227,1232.9913,596.1223,356.632,177.4423,87.8636,43.5618,16.6624,7.4041,2.3784,1.0678,0.4078,0.1467,0.0481,0.0178,0.0053,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,99.0037,276.5373,522.1404,954.6343,1554.2595,1991.9073,1889.8968,2129.9206,2359.6055,2571.1336,1801.1246,1678.4537,805.6705,477.5425,235.2148,115.2922,56.5975,21.4424,9.4384,3.0054,1.3373,0.5063,0.1806,0.0587,0.0216,0.0064,0.0022,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,97.5074,261.4211,475.4457,838.9366,1323.8613,1656.3133,1547.3942,1729.6537,1916.781,2110.1219,1504.0175,1433.9129,704.2241,427.1828,215.2613,107.8508,54.0629,20.897,9.382,3.0424,1.3793,0.5319,0.1932,0.0639,0.0239,0.0072,0.0025,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,101.4811,271.118,491.4815,864.5191,1360.3422,1697.9543,1583.5574,1767.8877,1957.9102,2155.6689,1537.665,1467.828,721.8803,438.5312,221.3029,111.0353,55.7349,21.5715,9.6973,3.1484,1.4292,0.5519,0.2007,0.0665,0.0249,0.0075,0.0026,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,113.7717,314.2805,586.5997,1058.1212,1695.0426,2131.5524,1981.2865,2182.8149,2360.9753,2513.5006,1727.3983,1582.8201,750.2161,439.7549,214.4076,104.1072,50.6576,19.0314,8.3081,2.6255,1.1591,0.4354,0.1541,0.0498,0.0181,0.0054,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,113.7999,317.7723,599.1208,1091.4404,1764.6274,2236.5216,2091.268,2314.2519,2509.557,2672.1783,1833.0677,1674.185,790.6074,461.6445,224.2092,108.4577,52.585,19.6871,8.565,2.6981,1.1874,0.4446,0.1569,0.0505,0.0183,0.0054,0.0018,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,114.5636,307.6081,559.2781,983.6417,1540.0469,1901.0994,1744.1697,1905.0876,2053.6808,2192.7472,1518.7524,1407.5013,675.1173,400.6085,197.7116,97.1353,47.7987,18.1519,8.0089,2.5558,1.1398,0.4324,0.1546,0.0503,0.0185,0.0055,0.0019,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,117.9505,330.0368,623.7732,1140.2291,1852.4715,2363.1623,2226.8573,2486.8904,2724.3659,2931.4196,2029.2897,1869.0964,888.528,521.9414,254.9126,123.9545,60.3937,22.7166,9.9287,3.1412,1.3883,0.522,0.185,0.0597,0.0218,0.0064,0.0022,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,127.1418,317.6346,541.1415,896.3096,1334.3462,1589.3692,1429.8838,1552.1211,1687.7663,1847.9647,1326.656,1285.7461,644.3986,399.653,206.0036,105.5316,54.0438,21.3242,9.7704,3.2282,1.4923,0.5866,0.217,0.0731,0.0278,0.0085,0.003,0.001,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,134.8675,360.2495,651.1331,1136.482,1761.4821,2147.0874,1941.7378,2086.3997,2209.3224,2316.7525,1579.8469,1443.1348,684.3571,401.9082,196.4455,95.6446,46.6665,17.5785,7.6941,2.4374,1.0788,0.4062,0.1442,0.0466,0.017,0.0051,0.0017,5e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,101.855,281.1168,525.0678,950.372,1534.2302,1954.5499,1848.8045,2082.5883,2312.7632,2534.245,1788.6401,1681.9258,814.3121,486.7883,241.7653,119.4465,59.0808,22.5455,9.9949,3.2037,1.4351,0.547,0.1964,0.0643,0.0238,0.0071,0.0024,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,125.268,335.9329,610.0664,1071.7293,1676.1205,2067.0754,1894.9682,2068.4713,2228.7757,2379.1711,1647.8997,1527.459,732.8452,434.9911,214.7456,105.5354,51.9474,19.7329,8.7088,2.7799,1.24,0.4706,0.1683,0.0548,0.0201,0.006,0.0021,6e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,99.8844,266.9335,484.0296,851.6328,1340.3681,1673.3087,1560.7391,1742.5064,1929.7843,2124.5305,1515.2536,1446.1843,711.1122,431.9137,217.9256,109.3225,54.8663,21.232,9.5433,3.0979,1.4061,0.5429,0.1974,0.0654,0.0245,0.0074,0.0026,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,81.2542,221.7065,409.872,734.9531,1177.4636,1492.6717,1409.187,1588.5473,1770.6894,1953.6802,1390.8271,1321.1294,645.7304,389.6333,195.2773,97.3188,48.5342,18.6677,8.3405,2.6926,1.2152,0.4666,0.1687,0.0556,0.0207,0.0062,0.0022,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,98.1334,260.1456,468.2527,818.1321,1279.7106,1589.8963,1478.1662,1647.1551,1823.5026,2010.4673,1438.0147,1377.9093,680.3152,414.9434,210.2352,105.8887,53.3472,20.7203,9.3472,3.0444,1.3866,0.5372,0.196,0.0651,0.0245,0.0074,0.0026,8e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,150.3647,379.8272,653.0481,1089.3222,1627.6893,1937.5334,1734.8824,1867.1897,2005.2736,2160.5878,1524.8436,1450.6638,715.0043,436.297,221.3881,111.7273,56.4087,21.9563,9.9259,3.2395,1.4784,0.5739,0.2098,0.0698,0.0263,0.008,0.0028,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,109.3253,288.886,517.9836,900.2509,1397.818,1719.877,1580.8078,1737.8517,1894.6603,2055.3727,1448.7982,1368.8418,668.1364,403.2335,202.2868,100.9424,50.4117,19.4171,8.6875,2.8082,1.2691,0.4879,0.1767,0.0583,0.0218,0.0065,0.0023,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,85.3899,236.4194,443.3618,807.2409,1314.7164,1695.6079,1628.3291,1868.3141,2119.4139,2375.9324,1711.9504,1642.0776,807.8783,490.0885,246.7697,123.4953,61.826,23.8667,10.7014,3.4661,1.5696,0.6046,0.2193,0.0725,0.0271,0.0081,0.0028,9e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,108.397,288.9202,522.2431,914.8832,1431.1852,1772.3943,1637.5093,1807.7504,1976.6874,2147.0975,1512.9214,1427.2897,695.2411,418.6328,209.5168,104.3076,51.9757,19.9762,8.9186,2.8773,1.2977,0.4979,0.1799,0.0592,0.0221,0.0066,0.0023,7e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
