"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,66.5798,78.2567,103.7777,93.4086,67.0464,57.805,44.4365,27.8383,16.0167,9.6437,4.8872,2.5787,1.3948,0.6924,0.3156,0.1415,0.0655,0.0266,0.0113,0.0044,0.0018,7e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,1e-04,2e-04,0,NA
0,78.5575,92.7695,123.5859,111.6683,80.4033,69.5328,53.6054,33.6702,19.4179,11.7185,5.9514,3.1466,1.7057,0.8487,0.3876,0.1741,0.0808,0.0329,0.014,0.0055,0.0023,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,2e-04,2e-04,0,NA
0,52.0602,62.9821,86.0478,79.58,58.4815,51.6576,40.6694,26.058,15.308,9.4064,4.8608,2.6132,1.4411,0.7291,0.3384,0.1544,0.0727,0.03,0.0129,0.0051,0.0022,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,3e-04,3e-04,4e-04,0,NA
0,71.6828,84.9794,113.639,103.0156,74.3712,64.4854,49.8381,31.3754,18.1323,10.9646,5.5793,2.9553,1.605,0.8,0.3661,0.1647,0.0765,0.0312,0.0133,0.0052,0.0021,8e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,2e-04,2e-04,0,NA
0,48.7246,61.8645,88.8653,86.032,65.7969,60.5633,49.658,33.0613,20.1248,12.8034,6.8402,3.7973,2.1642,1.1312,0.5412,0.2544,0.1236,0.0526,0.0234,0.0097,0.0041,0.0016,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,4e-04,7e-04,0.0012,0.0017,0.002,0.0029,0,NA
0,69.4266,81.1266,106.9014,95.6326,68.2613,58.5055,44.7071,27.8478,15.9365,9.5451,4.8126,2.5269,1.36,0.6718,0.3048,0.136,0.0627,0.0254,0.0107,0.0042,0.0017,6e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,1e-04,0,NA
0,62.9467,76.8974,106.1174,99.0368,73.3544,65.3204,51.8352,33.4608,19.7929,12.2445,6.3683,3.4451,1.912,0.9735,0.4544,0.2085,0.0988,0.041,0.0178,0.0072,0.003,0.0011,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,3e-04,5e-04,5e-04,7e-04,0,NA
0,62.2379,73.6684,98.4075,89.1692,64.3784,55.8411,43.1837,27.2066,15.7356,9.5231,4.8497,2.571,1.3974,0.6972,0.3192,0.1437,0.0669,0.0273,0.0116,0.0046,0.0019,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,1e-04,2e-04,0,NA
0,64.7961,76.4887,101.8896,92.0896,66.3401,57.4119,44.2992,27.8505,16.0764,9.7108,4.9362,2.6123,1.4173,0.7057,0.3226,0.145,0.0673,0.0274,0.0117,0.0046,0.0019,7e-04,3e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,1e-04,2e-04,0,NA
0,72.4108,87.7316,120.0054,111.0692,81.6534,72.1397,56.7959,36.3871,21.3726,13.1304,6.7838,3.6463,2.0103,1.0169,0.4718,0.2152,0.1014,0.0419,0.0181,0.0072,0.003,0.0011,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,3e-04,4e-04,4e-04,5e-04,0,NA
