"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
0,40.1701,38.0218,47.8266,61.9593,92.8069,162.0352,325.101,536.3917,939.9956,2037.7384,3963.7427,5399.6388,6013.212,4875.9049,3051.9239,1633.4602,990.5374,608.2046,343.4592,176.743,84.2399,29.6641,13.5278,5.0511,1.6699,0.5606,0.1831,0.0574,0.0159,0.0051,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,47.3616,45.0208,56.8944,74.0472,111.4262,195.415,393.5766,650.7006,1139.4361,2454.27,4693.1645,6200.2499,6627.1474,5148.692,3107.5979,1614.0256,951.244,568.6936,313.3924,157.7055,73.5532,25.4399,11.3934,4.1778,1.3578,0.4486,0.1443,0.0446,0.0122,0.0038,0.0011,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,31.2699,30.365,39.3021,52.4323,81.0033,146.1166,303.2129,515.9097,929.2345,2057.9492,4013.4605,5319.7192,5602.2901,4234.26,2479.4341,1251.4744,716.3873,416.1485,223.1447,109.4568,49.7845,16.8628,7.3945,2.655,0.8458,0.2743,0.0866,0.0262,0.007,0.0022,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,43.1909,41.2004,52.2661,68.2843,103.1515,181.5896,366.9573,607.9128,1064.4269,2282.9978,4313.2411,5575.5142,5790.9836,4369.4949,2573.626,1310.1007,757.5063,444.7918,241.08,119.4799,54.9031,18.7568,8.2966,3.0048,0.9651,0.3154,0.1003,0.0306,0.0082,0.0026,8e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,29.0473,29.4412,39.9757,56.025,91.1843,173.8225,382.0874,685.7155,1296.6265,2987.4367,5873.5713,7464.789,7214.4632,4917.643,2621.6437,1220.3686,645.2192,347.0476,173.0614,79.3354,33.7595,10.8179,4.4858,1.523,0.4602,0.142,0.0427,0.0124,0.0032,0.001,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,41.9249,39.4824,49.3774,63.5771,94.5916,163.9099,326.0231,532.8157,923.1761,1970.7242,3756.5794,4994.5805,5423.1341,4303.0838,2651.662,1403.1726,842.4825,512.8235,287.42,146.9214,69.5817,24.3747,11.0574,4.1069,1.351,0.4515,0.1468,0.0457,0.0126,0.004,0.0012,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,37.7518,36.9778,48.3245,65.1093,101.6384,185.3493,388.9412,668.3869,1214.0071,2703.054,5256.8852,6865.2376,7051.4678,5179.8615,2957.3082,1460.8582,818.9225,466.2597,245.3665,118.2803,52.8878,17.6616,7.6348,2.7022,0.8494,0.272,0.0848,0.0254,0.0067,0.0021,6e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,37.5099,35.7248,45.2503,59.0429,89.1116,156.8437,317.3639,527.834,932.083,2035.017,3975.1234,5408.9533,5981.9367,4797.9643,2968.7967,1572.0883,943.1152,573.0396,320.4214,163.3829,77.178,26.9759,12.21,4.525,1.4854,0.4954,0.1607,0.05,0.0138,0.0044,0.0013,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,39.068,37.1194,46.8909,61.0151,91.8214,161.1192,324.9846,538.9451,949.2328,2068.1506,4038.1534,5507.3138,6121.0927,4941.5011,3076.9045,1638.4866,988.3948,603.7507,339.2694,173.7863,82.4589,28.9285,13.1427,4.8888,1.6105,0.5389,0.1754,0.0548,0.0151,0.0048,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,43.4831,42.2853,54.8109,73.2185,113.2403,204.403,424.0333,719.9173,1289.7028,2821.9333,5376.0848,6873.7426,6934.6178,5034.7753,2857.3088,1407.109,787.1929,447.597,235.3378,113.3737,50.6661,16.9124,7.3079,2.5855,0.8123,0.26,0.0811,0.0243,0.0064,0.002,6e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,43.3936,42.5087,55.5539,74.8393,116.7826,212.7918,445.7687,763.6198,1378.9477,3035.7175,5785.6694,7336.1973,7285.9991,5193.0437,2898.2467,1406.8018,775.9255,435.1628,225.8502,107.4947,47.4705,15.6895,6.712,2.3511,0.7316,0.2321,0.0718,0.0213,0.0056,0.0017,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,44.0524,42.0183,53.3013,69.6394,105.2161,185.2957,374.7529,621.7669,1091.6524,2353.5881,4487.4391,5879.0134,6203.304,4750.5514,2830.8977,1454.4096,848.1914,502.0192,274.0817,136.741,63.2419,21.7215,9.66,3.5174,1.1355,0.3728,0.1191,0.0366,0.0099,0.0031,9e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,44.958,44.0962,57.7117,77.8673,121.7206,222.2434,466.7398,801.9838,1454.1649,3221.5321,6197.3223,7952.2778,7995.7475,5757.0517,3235.8809,1578.8675,874.9045,492.7658,256.7346,122.6252,54.3385,18.0106,7.7271,2.7143,0.847,0.2694,0.0835,0.0249,0.0065,0.002,6e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,49.65,45.0665,54.1003,66.7991,95.1218,157.4453,298.92,468.7808,784.4447,1635.601,3136.9966,4393.3632,5259.4151,4726.1088,3289.9365,1943.0186,1300.6608,878.7559,542.4412,302.9898,156.3487,58.7955,28.6477,11.427,4.0211,1.4313,0.4943,0.1637,0.0478,0.0163,0.0051,0.0015,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
