"diary_date","agegroup","normage","gender","normhh_size","newocctype","normliveyear","adj_weekday","irregular","cnt_n","cnt_other","cnt_community","cnt_nohh","cnt_physical","newocctype_Not Employed","newocctype_Students","normliveyear_< 6 years","normliveyear_6-10 years","adj_weekday_SAT","adj_weekday_SUN","irregular_1","irregular_2","gender_Female"
2017-12-24,"60+",2.89902280130293,"Female",0.312703583061889,"Not Employed",">10 years or entire life","SUN","0",4,0,2,2,2,1,0,0,0,0,1,0,0,1
2017-12-24,"19-59",-14.1009771986971,"Female",0.312703583061889,"Not Employed",">10 years or entire life","SUN","0",3,1,1,1,2,1,0,0,0,0,1,0,0,1
2017-12-24,"60+",-6.10097719869707,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","SUN","0",2,1,1,1,0,1,0,0,0,0,1,0,0,1
2017-12-25,"19-59",-16.415,"Male",2.9725,"Employed","6-10 years","M-F","0",50,0,0,45,1,0,0,0,1,0,0,0,0,0
2017-12-26,"60+",-5.10097719869707,"Male",0.312703583061889,"Not Employed",">10 years or entire life","M-F",NA,4,0,3,3,0,1,0,0,0,0,0,NA,NA,0
2017-12-26,"19-59",9.585,"Female",-0.0274999999999999,"Employed",">10 years or entire life","M-F","0",10,0,0,8,0,0,0,0,0,0,0,0,0,1
2017-12-26,"0-18",-5.30833333333333,"Female",1.27777777777778,"Students","< 6 years","M-F","0",5,3,2,2,2,0,1,1,0,0,0,0,0,1
2017-12-26,"60+",-1.10097719869707,"Female",2.31270358306189,"Not Employed",">10 years or entire life","M-F","0",10,4,4,4,1,1,0,0,0,0,0,0,0,1
2017-12-26,"60+",6.89902280130293,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","M-F","1",24,22,21,21,0,1,0,0,0,0,0,1,0,1
2017-12-27,"60+",4.89902280130293,"Female",-1.68729641693811,"Not Employed",">10 years or entire life","M-F","1",10,10,10,10,0,1,0,0,0,0,0,1,0,1
2017-12-27,"0-18",-6.30833333333333,"Male",1.27777777777778,"Students",">10 years or entire life","M-F",NA,33,1,1,26,6,0,1,0,0,0,0,NA,NA,0
2017-12-27,"19-59",-7.415,"Male",-0.0274999999999999,"Employed",">10 years or entire life","M-F","0",10,0,0,8,0,0,0,0,0,0,0,0,0,0
2017-12-27,"19-59",7.585,"Female",-0.0274999999999999,"Employed",">10 years or entire life","M-F","0",20,4,3,17,2,0,0,0,0,0,0,0,0,1
2017-12-27,"19-59",-11.1009771986971,"Female",-1.68729641693811,"Not Employed",">10 years or entire life","M-F",NA,14,13,12,12,0,1,0,0,0,0,0,NA,NA,1
2017-12-27,"60+",-3.10097719869707,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","M-F",NA,1,1,0,0,0,1,0,0,0,0,0,NA,NA,1
2017-12-27,"60+",5.89902280130293,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","M-F","0",3,3,3,3,3,1,0,0,0,0,0,0,0,1
2017-12-28,"19-59",-10.1009771986971,"Female",0.312703583061889,"Not Employed",">10 years or entire life","M-F",NA,45,43,43,43,0,1,0,0,0,0,0,NA,NA,1
2017-12-28,"0-18",-8.80833333333333,"Female",-0.722222222222222,"Students",">10 years or entire life","M-F","0",18,14,13,13,2,0,1,0,0,0,0,0,0,1
2017-12-28,"19-59",-5.415,"Female",1.9725,"Employed",">10 years or entire life","M-F","0",4,0,0,0,4,0,0,0,0,0,0,0,0,1
2017-12-28,"60+",-2.10097719869707,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","M-F","0",20,13,12,12,0,1,0,0,0,0,0,0,0,1
2017-12-28,"0-18",-9.30833333333333,"Female",-0.722222222222222,"Students",">10 years or entire life","M-F","0",6,0,0,0,6,0,1,0,0,0,0,0,0,1
2017-12-29,"60+",12.8990228013029,"Male",2.31270358306189,"Not Employed",">10 years or entire life","M-F","0",11,10,10,10,0,1,0,0,0,0,0,0,0,0
2017-12-29,"19-59",-3.415,"Female",0.9725,"Employed",">10 years or entire life","M-F","0",10,0,0,6,2,0,0,0,0,0,0,0,0,1
2017-12-29,"60+",-6.10097719869707,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","M-F","0",5,5,5,5,0,1,0,0,0,0,0,0,0,1
2017-12-29,"19-59",-6.415,"Female",-1.0275,"Employed",">10 years or entire life","M-F","0",8,1,1,5,0,0,0,0,0,0,0,0,0,1
2017-12-29,"60+",-1.10097719869707,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","M-F","0",11,9,8,8,0,1,0,0,0,0,0,0,0,1
2017-12-29,"19-59",4.585,"Female",-0.0274999999999999,"Employed",">10 years or entire life","M-F","0",5,1,1,4,1,0,0,0,0,0,0,0,0,1
2017-12-30,"60+",6.89902280130293,"Male",2.31270358306189,"Not Employed",">10 years or entire life","SAT","0",4,0,0,0,0,1,0,0,0,1,0,0,0,0
2017-12-30,"60+",19.585,"Female",-0.0274999999999999,"Employed",">10 years or entire life","SAT","1",6,4,4,4,2,0,0,0,0,1,0,1,0,1
2017-12-30,"19-59",-11.1009771986971,"Female",-0.687296416938111,"Not Employed",">10 years or entire life","SAT","0",1,0,0,0,0,1,0,0,0,1,0,0,0,1
2017-12-30,"0-18",-8.30833333333333,"Male",1.27777777777778,"Students",">10 years or entire life","SAT","0",35,31,31,31,4,0,1,0,0,1,0,0,0,0
2017-12-31,"0-18",2.69166666666667,"Female",1.27777777777778,"Students",">10 years or entire life","SUN",NA,5,4,5,5,2,0,1,0,0,0,1,NA,NA,1
2017-12-31,"0-18",-2.30833333333333,"Female",0.277777777777778,"Students",">10 years or entire life","SUN","0",48,44,44,44,4,0,1,0,0,0,1,0,0,1
2017-12-31,"19-59",13.585,"Female",0.9725,"Employed",">10 years or entire life","SUN","0",10,7,7,7,0,0,0,0,0,0,1,0,0,1
2017-12-31,"0-18",-4.30833333333333,"Male",-0.722222222222222,"Students",">10 years or entire life","SUN","0",4,0,0,0,0,0,1,0,0,0,1,0,0,0
