"","x"
"1",-0.0287387930824945
"2",-0.0290584778496922
"3",-0.0302231430650827
"4",-0.0269759069193783
"5",-0.0310191724745651
"6",-0.0458951470061179
"7",-0.0358895433405636
"8",-0.0262187853184828
"9",-0.0326926831268475
"10",-0.0254540254890865
"11",-0.0283684853355143
"12",-0.0376591677170098
"13",-0.0270343327983007
"14",-0.0338689154899451
"15",-0.0257810332180822
"16",-0.0302787441551975
"17",-0.0255530187563028
"18",-0.0276728424347861
"19",-0.0298701306188191
"20",-0.0266824103298645
"21",-0.0292756840954261
"22",-0.0344455188263987
"23",-0.0345649376540349
"24",-0.0281912096822532
"25",-0.0360091122136758
"26",-0.0319091367758862
"27",-0.034883929501693
"28",-0.04440349659675
"29",-0.032640877448886
"30",-0.0270069637076633
"31",-0.0297832184585275
"32",-0.0297865383297763
"33",-0.0265103146198164
"34",-0.0305896574793795
"35",-0.0260532369755553
"36",-0.0258710857308934
"37",-0.048029262049535
"38",-0.027990401957947
"39",-0.0337935538702601
"40",-0.0290295926095073
"41",-0.0312738868020158
"42",-0.0314924517340645
"43",-0.0319905622018217
"44",-0.0300067965447321
"45",-0.029089912298913
"46",-0.0263189590752486
"47",-0.0265814170700242
"48",-0.0270613750129009
"49",-0.0324318091356716
"50",-0.0330202541236786
"51",-0.0297529494367708
"52",-0.0393150750508986
"53",-0.0320982756051818
"54",-0.0283745667165808
"55",-0.0308772516950058
"56",-0.0297672553118577
"57",-0.0344479486759228
"58",-0.0415447291086282
"59",-0.0258453220074133
"60",-0.0276773774553604
"61",-0.0414887750021273
"62",-0.0317604014094219
"63",-0.0309343355184842
"64",-0.029914701391461
"65",-0.0322027589696355
"66",-0.0270923145676074
"67",-0.0324738986954366
"68",-0.0354737591296184
"69",-0.0263884169698164
"70",-0.0350556474624909
"71",-0.0342586354909255
"72",-0.0261302280731133
"73",-0.0272930912268969
"74",-0.0455113373792504
"75",-0.0315329124164928
"76",-0.0358856524080126
"77",-0.0419332315901198
"78",-0.0349330982363335
"79",-0.0344698520502983
"80",-0.042894251235335
"81",-0.0268236906886355
"82",-0.0399758240440733
"83",-0.0292166198000383
"84",-0.0280941751425568
"85",-0.0360916243203038
"86",-0.0283764198143229
"87",-0.0370644277860909
"88",-0.0276915031854036
"89",-0.0295340331691781
"90",-0.0260748581566805
"91",-0.0437684916304033
"92",-0.0304562665005843
"93",-0.0400204490631005
"94",-0.0399198809559523
"95",-0.0300671606752278
"96",-0.0286228615796276
"97",-0.0355118346805448
"98",-0.03096590990431
"99",-0.0379180301490535
"100",-0.0387213478225496
"101",-0.041109427343912
"102",-0.0278269693066749
"103",-0.0310726000751068
"104",-0.0271393901238688
"105",-0.0306090027236335
"106",-0.0424741930836246
"107",-0.0307857180252124
"108",-0.0317856317928851
"109",-0.0270827645279937
"110",-0.0318531783145662
"111",-0.0308586231066403
"112",-0.0386002595509161
"113",-0.0262666643795064
"114",-0.0268945088005428
"115",-0.0280412483746803
"116",-0.0255881399038861
"117",-0.0313169020834916
"118",-0.0290962155163036
"119",-0.0417781404045696
"120",-0.0369559234100541
"121",-0.0269077872590936
"122",-0.027807557406543
"123",-0.0355690939152214
"124",-0.0411692277365444
"125",-0.0302760270435159
"126",-0.0269163755454603
"127",-0.0274262170142485
"128",-0.0317521589437719
"129",-0.0305779462083061
"130",-0.0339791074426851
"131",-0.0295536353473017
"132",-0.0289106592547228
"133",-0.0317068857700218
"134",-0.0378652562511138
"135",-0.0332364456070321
"136",-0.0310794223666426
"137",-0.0285309320584396
"138",-0.02695748338121
"139",-0.0266731811325498
"140",-0.0270223411536435
"141",-0.026551411002257
"142",-0.0346401569108013
"143",-0.0284993665884834
"144",-0.0412355005550909
"145",-0.0314427574769521
"146",-0.0339967310009362
"147",-0.0422617940373989
"148",-0.0456934284052807
"149",-0.0271566061872761
"150",-0.0285733102272942
"151",-0.0310829053894274
"152",-0.044478153594629
"153",-0.02918645146898
"154",-0.0530448442716176
"155",-0.0306054979181822
"156",-0.0542679723514824
"157",-0.0361195265386517
"158",-0.0378131554299407
"159",-0.0298309103995291
"160",-0.0375042068628956
"161",-0.0256048035355547
"162",-0.0271309642273116
"163",-0.029490568515001
"164",-0.0388442868530024
"165",-0.0333473638837818
"166",-0.0284961468796231
"167",-0.034253349297213
"168",-0.0391851567967879
"169",-0.0294219868542139
"170",-0.0385739652530389
"171",-0.0270407115547177
"172",-0.02835079168536
"173",-0.0304984557974295
"174",-0.0422584423693269
"175",-0.0292409449726646
"176",-0.0263058102543018
"177",-0.0265594040676006
"178",-0.0260256873286246
"179",-0.0316284449193631
"180",-0.0326507847717744
"181",-0.0266825067316833
"182",-0.0282232940215997
"183",-0.0279280855253618
"184",-0.0318121647579942
"185",-0.0312509840152933
"186",-0.0320139143846863
"187",-0.029038847835069
"188",-0.0299194587572003
"189",-0.0255116127366081
"190",-0.0257456086407855
"191",-0.0411174596816642
"192",-0.0266131759996018
"193",-0.0294453979286569
"194",-0.037559864591751
"195",-0.0279067632362647
"196",-0.0260952867875752
"197",-0.02597222613015
"198",-0.0413463808350224
"199",-0.0288727026963817
"200",-0.0331008147347818
"201",-0.0328753009536548
"202",-0.0383112521600438
"203",-0.0260817927332313
"204",-0.0307002500533388
"205",-0.0296418585253154
"206",-0.0366934705078961
"207",-0.0404934959433228
"208",-0.0435112370477805
"209",-0.0287552253837887
"210",-0.0390858374187489
"211",-0.0346597212424047
"212",-0.030764505746532
"213",-0.0358579558740117
"214",-0.0261906786541316
"215",-0.0325801784685064
"216",-0.0288856677030867
"217",-0.0361802853919956
"218",-0.0306787748527124
"219",-0.0309304848548364
"220",-0.0270016171707005
"221",-0.0266770331899925
"222",-0.0266624658975244
"223",-0.0403292588891618
"224",-0.0441925231814799
"225",-0.0307717037237866
"226",-0.0350746693339356
"227",-0.0266692994228198
"228",-0.0327949951613492
